Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,6048.07,-79.78,0.000837,595.00,0.000000,4569.31,0.003963,11965.00
0.050,5269.93,-66.49,0.023871,580.00,144.115555,4438.21,0.000714,11145.00
0.100,4893.56,-63.56,0.043982,575.00,138.600311,4403.18,0.000559,10950.00
0.150,5014.14,-65.92,0.033506,240.00,136.217270,4579.89,0.000484,11360.00
0.200,6356.24,-65.24,0.027756,220.00,120.344521,4678.67,0.000801,12125.00
0.250,6189.10,-65.86,0.026990,165.00,84.078445,4629.14,0.000773,11775.00
0.300,6299.29,-66.42,0.024452,240.00,78.116661,4582.87,0.000805,11740.00
0.350,4254.32,-72.47,0.017567,240.00,95.494476,4494.34,0.000270,10610.00
0.400,3044.14,-75.48,0.015793,235.00,53.044827,4022.72,0.000101,8535.00
0.450,2315.17,-77.41,0.014437,60.00,56.294174,3710.05,0.000059,6035.00
0.500,3231.18,-70.84,0.027626,155.00,122.721848,3843.25,0.000197,7205.00
0.550,2992.14,-67.90,0.050109,170.00,191.049500,3617.99,0.000162,6500.00
0.600,1689.15,-71.59,0.084885,425.00,387.046448,2762.04,0.000023,3215.00
0.650,1105.10,-74.52,0.116182,425.00,391.783142,2079.22,0.000004,1135.00
0.700,1407.49,-73.08,0.093153,105.00,315.756622,2252.01,0.000010,2180.00
0.750,2048.27,-69.55,0.072770,100.00,397.447723,2814.66,0.000055,3305.00
0.800,2468.52,-68.37,0.063399,5.00,263.793945,3106.40,0.000098,4515.00
0.850,2142.80,-72.22,0.043680,0.00,228.387344,2925.66,0.000049,3435.00
0.900,2270.16,-75.35,0.026249,5.00,186.196396,3433.95,0.000044,4000.00
0.950,2617.32,-76.70,0.019037,0.00,105.102364,4101.25,0.000044,8365.00
1.000,3037.73,-77.44,0.013827,0.00,56.815125,4401.55,0.000056,9775.00
1.050,3356.85,-77.51,0.013884,5.00,53.369881,4566.42,0.000067,10265.00
1.100,3385.72,-77.41,0.018552,5.00,50.201847,4577.82,0.000039,10205.00
1.150,3441.36,-77.52,0.017845,5.00,28.817015,4606.48,0.000038,10300.00
1.200,3948.32,-77.39,0.013226,5.00,51.837219,4785.25,0.000070,10935.00
1.250,3793.18,-77.43,0.014495,10.00,46.973122,4739.89,0.000064,10765.00
1.300,3642.44,-77.50,0.014676,15.00,33.133923,4668.80,0.000060,10625.00
1.350,3695.39,-76.77,0.020650,10.00,63.574215,4680.89,0.000043,10675.00
1.400,3851.10,-76.17,0.021994,10.00,29.036282,4727.14,0.000049,10770.00
1.450,3862.87,-76.05,0.017494,5.00,79.612503,4705.69,0.000071,10685.00
1.500,3946.68,-76.21,0.016724,5.00,42.925793,4736.40,0.000075,10835.00
1.550,3608.81,-75.96,0.019175,5.00,38.178608,4631.78,0.000065,10635.00
1.600,3122.56,-75.79,0.023033,5.00,53.504112,4382.09,0.000046,9855.00
1.650,3436.43,-75.99,0.018133,15.00,96.227905,4517.00,0.000080,10165.00
1.700,3279.18,-75.84,0.020285,0.00,81.147339,4483.74,0.000066,10030.00
1.750,2453.18,-73.77,0.038622,180.00,178.694855,3711.70,0.000044,6325.00
1.800,3343.70,-68.91,0.062090,375.00,200.733688,3895.06,0.000074,8255.00
1.850,6378.17,-63.17,0.055677,90.00,237.649475,4167.53,0.000459,10470.00
1.900,7779.01,-63.53,0.042910,10.00,211.036926,3631.24,0.000677,11355.00
1.950,5324.29,-67.96,0.032293,10.00,223.034180,4530.70,0.000323,10280.00
2.000,2374.74,-68.93,0.084547,415.00,378.463684,3180.74,0.000052,4380.00
2.050,2327.78,-68.49,0.099474,435.00,275.179230,2949.14,0.000046,3420.00
2.100,2329.02,-69.81,0.089051,440.00,391.659180,2992.12,0.000038,3305.00
2.150,2817.48,-70.51,0.060044,150.00,308.020813,3705.63,0.000052,7860.00
2.200,5944.22,-65.81,0.041189,150.00,261.197937,4424.44,0.000349,10595.00
2.250,4314.30,-64.06,0.089590,450.00,389.809296,4214.67,0.000145,9520.00
2.300,2502.36,-67.76,0.104371,450.00,289.072601,3260.01,0.000044,5960.00
2.350,2171.12,-71.78,0.076512,250.00,469.261261,3275.52,0.000023,4200.00
2.400,2483.65,-72.43,0.073583,245.00,308.263672,3642.82,0.000018,6625.00
2.450,3089.61,-69.94,0.065695,245.00,228.387360,3805.43,0.000046,8090.00
