Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,6050.74,-80.00,0.000000,305.00,0.000000,5910.00,0.999476,13035.00
0.050,1555.41,-80.00,0.000111,415.00,0.693755,2730.50,0.000440,2215.00
0.100,1465.22,-79.82,0.000741,85.00,4.014120,2598.53,0.000150,2020.00
0.150,1488.89,-79.61,0.001357,90.00,4.568134,2649.54,0.000110,2075.00
0.200,1579.63,-79.60,0.001439,40.00,4.304344,2735.73,0.000106,2175.00
0.250,1510.68,-79.61,0.001546,65.00,5.035912,2690.88,0.000086,2095.00
0.300,1446.10,-79.58,0.001669,70.00,4.626581,2639.56,0.000074,2065.00
0.350,1411.11,-79.56,0.001720,90.00,5.409679,2588.57,0.000069,1970.00
0.400,1502.58,-79.61,0.001546,45.00,5.330476,2703.09,0.000085,2085.00
0.450,1455.99,-79.58,0.001607,35.00,5.133656,2649.01,0.000074,1980.00
0.500,1446.14,-79.54,0.001575,30.00,5.395539,2610.77,0.000080,1925.00
0.550,1447.91,-79.54,0.001616,45.00,4.519577,2607.81,0.000079,1955.00
0.600,1542.50,-79.59,0.001438,65.00,4.984758,2711.75,0.000101,2110.00
0.650,1592.10,-79.59,0.001357,70.00,4.888012,2740.75,0.000113,2170.00
0.700,1513.29,-79.59,0.001454,80.00,4.316311,2685.19,0.000095,2055.00
0.750,1465.83,-79.58,0.001551,80.00,5.101658,2648.96,0.000081,2005.00
0.800,1470.56,-79.58,0.001598,45.00,4.486855,2660.82,0.000079,2015.00
0.850,1541.65,-79.60,0.001464,25.00,5.111989,2729.85,0.000097,2100.00
0.900,1544.31,-79.58,0.001471,20.00,4.498194,2701.97,0.000097,2055.00
0.950,1514.47,-79.57,0.001542,35.00,4.724566,2692.89,0.000088,2020.00
1.000,1481.91,-79.58,0.001560,30.00,5.265023,2671.19,0.000083,2035.00
1.050,1446.39,-79.55,0.001580,570.00,4.756993,2622.34,0.000082,1995.00
1.100,1469.66,-79.57,0.001581,570.00,4.343412,2643.41,0.000084,2020.00
1.150,1448.43,-79.55,0.001600,65.00,5.469003,2605.10,0.000078,1945.00
1.200,1461.80,-79.58,0.001638,70.00,5.353786,2656.93,0.000074,2020.00
1.250,1444.90,-79.58,0.001618,70.00,5.069899,2630.64,0.000077,2020.00
1.300,1426.14,-79.55,0.001624,70.00,4.616919,2593.55,0.000078,1980.00
1.350,1396.35,-79.53,0.001770,65.00,5.217464,2590.56,0.000069,1965.00
1.400,1442.72,-79.56,0.001698,85.00,5.088526,2644.94,0.000073,1985.00
1.450,1409.84,-79.56,0.001692,85.00,5.035425,2618.92,0.000073,1935.00
1.500,1406.31,-79.54,0.001682,100.00,4.477737,2594.06,0.000073,1930.00
1.550,1519.05,-79.58,0.001429,45.00,5.008786,2706.48,0.000101,2120.00
1.600,1517.64,-79.59,0.001412,45.00,4.033875,2716.09,0.000102,2095.00
1.650,1499.46,-79.59,0.001449,30.00,4.360453,2681.20,0.000096,2100.00
1.700,1532.49,-79.61,0.001444,120.00,4.490588,2724.33,0.000096,2140.00
1.750,1481.06,-79.60,0.001562,115.00,4.819418,2705.83,0.000080,2080.00
1.800,1449.72,-79.61,0.001672,115.00,4.649632,2705.46,0.000070,2095.00
1.850,1584.09,-79.62,0.001372,65.00,5.346453,2766.47,0.000113,2215.00
1.900,1646.72,-79.65,0.001250,60.00,4.161035,2820.00,0.000131,2390.00
1.950,1573.91,-79.62,0.001438,50.00,5.087312,2781.90,0.000103,2210.00
2.000,1482.78,-79.57,0.001636,50.00,4.226038,2653.48,0.000081,2070.00
2.050,1531.73,-79.60,0.001675,50.00,4.521723,2692.22,0.000082,2230.00
2.100,1521.86,-79.58,0.001551,45.00,5.205963,2706.33,0.000092,2200.00
2.150,1508.32,-79.60,0.001505,85.00,4.857407,2724.74,0.000092,2135.00
2.200,1520.72,-79.58,0.001442,30.00,5.181541,2687.27,0.000096,2045.00
2.250,1512.80,-79.57,0.001515,95.00,4.264944,2646.47,0.000088,2045.00
2.300,1487.70,-79.55,0.001537,40.00,4.728528,2632.44,0.000086,2015.00
2.350,1509.69,-79.58,0.001488,115.00,5.038998,2683.16,0.000092,2055.00
2.400,1497.74,-79.57,0.001497,120.00,4.626296,2648.04,0.000093,2065.00
2.450,1497.98,-79.56,0.001465,95.00,4.654762,2630.78,0.000097,2040.00
2.500,1457.99,-79.57,0.001515,80.00,4.512226,2595.20,0.000087,2025.00
2.550,5782.30,-79.30,0.002079,80.00,9.934767,5789.81,0.000143,13670.00
2.600,8473.99,-77.22,0.013875,14475.00,77.930130,5214.21,0.000046,14450.00
2.650,6042.01,-70.82,0.030020,13475.00,128.572021,4609.26,0.000187,12805.00
2.700,5361.87,-65.67,0.051381,1730.00,203.332230,4021.21,0.000339,10570.00
2.750,5301.44,-64.60,0.057459,1700.00,153.504089,3882.35,0.000364,10480.00
2.800,4971.13,-67.73,0.039342,2480.00,176.709396,3752.36,0.000290,10235.00
2.850,4511.88,-73.67,0.014488,1700.00,169.466614,3572.47,0.000265,9050.00
2.900,3878.87,-77.43,0.006313,2235.00,63.846836,3311.54,0.000205,7950.00
2.950,4655.29,-70.28,0.027252,2510.00,140.248871,3639.52,0.000222,9950.00
3.000,4940.66,-65.69,0.054329,2515.00,197.964172,3698.31,0.000274,10265.00
3.050,4887.32,-65.55,0.055644,2530.00,142.355484,3694.65,0.000295,10115.00
3.100,4647.85,-69.39,0.030787,2530.00,191.714096,3662.97,0.000272,9630.00
