Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,3658.72,-79.90,0.000335,1570.00,0.000000,3920.82,0.003095,8040.00
0.050,3475.02,-79.68,0.000633,1660.00,2.403575,3747.33,0.001185,6995.00
0.100,2375.72,-77.77,0.009262,1675.00,55.164986,1944.98,0.000012,4130.00
0.150,2289.15,-76.26,0.017988,1670.00,63.668816,1678.21,0.000007,3745.00
0.200,2198.02,-76.31,0.018948,1485.00,73.919235,1634.30,0.000006,3675.00
0.250,2063.18,-76.06,0.020819,1250.00,106.114029,1555.14,0.000005,3330.00
0.300,2096.02,-76.19,0.031160,1250.00,107.336990,1515.96,0.000002,3350.00
0.350,1964.41,-75.64,0.030248,1250.00,140.913803,1453.56,0.000002,3670.00
0.400,1918.47,-74.68,0.055329,940.00,233.604279,1307.89,0.000001,3435.00
0.450,1934.64,-74.85,0.066396,1875.00,230.528214,1238.56,0.000001,3335.00
0.500,1915.71,-76.25,0.052360,1670.00,206.673370,1211.15,0.000001,3325.00
0.550,1736.52,-77.74,0.029731,1670.00,176.098389,1268.46,0.000001,2920.00
0.600,1522.09,-78.59,0.017360,1665.00,96.097366,1341.65,0.000001,2335.00
0.650,1224.55,-78.09,0.012333,415.00,55.999336,1297.51,0.000002,2070.00
0.700,1554.95,-75.45,0.049661,375.00,275.745697,1242.78,0.000001,2965.00
0.750,1838.17,-74.66,0.094767,745.00,347.363739,1252.45,0.000000,2990.00
0.800,2119.60,-75.72,0.086694,1490.00,251.927994,1234.69,0.000000,3300.00
0.850,2141.28,-77.21,0.052264,1485.00,274.574829,1205.27,0.000000,2990.00
0.900,1879.21,-78.38,0.027727,1485.00,182.902328,1279.06,0.000000,2975.00
0.950,1234.89,-77.62,0.019376,1485.00,98.731247,1167.58,0.000001,2230.00
1.000,1303.15,-75.65,0.055099,625.00,293.111176,1056.29,0.000000,2485.00
1.050,1538.61,-75.17,0.093973,630.00,325.507874,1075.98,0.000000,2510.00
1.100,1772.61,-76.27,0.082403,1255.00,261.499268,1092.91,0.000000,2525.00
