Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,5250.95,-80.00,0.000005,3765.00,0.000000,3602.79,0.032627,8815.00
0.050,5018.42,-73.43,0.003396,3705.00,21.166428,3463.13,0.001775,8835.00
0.100,4223.21,-67.80,0.013388,590.00,66.668472,3530.76,0.000683,8340.00
0.150,2366.38,-67.28,0.050228,440.00,269.380859,3052.63,0.000061,5005.00
0.200,1669.56,-67.05,0.112660,440.00,447.594482,2560.95,0.000007,3520.00
0.250,1607.36,-66.88,0.110139,440.00,246.125336,2368.31,0.000008,3190.00
0.300,1553.80,-66.53,0.083827,440.00,478.352386,2242.09,0.000011,2985.00
0.350,1610.21,-66.62,0.091976,210.00,376.517487,2303.15,0.000005,3330.00
0.400,1983.86,-66.85,0.097734,210.00,383.804321,2645.99,0.000004,4325.00
0.450,2397.91,-64.85,0.096609,210.00,269.842224,3122.09,0.000017,5440.00
0.500,5251.85,-59.87,0.058371,210.00,343.823059,4247.03,0.000171,9895.00
0.550,7253.06,-58.94,0.043262,195.00,268.292297,3689.33,0.000370,10440.00
0.600,5649.93,-60.23,0.047050,150.00,202.857376,4173.06,0.000166,9995.00
0.650,2908.16,-64.51,0.062418,150.00,235.428360,3364.28,0.000024,7430.00
0.700,2418.63,-66.48,0.068872,150.00,172.718613,2595.43,0.000005,4200.00
0.750,2460.15,-66.77,0.065890,145.00,204.875305,2586.15,0.000006,4285.00
0.800,2307.40,-67.98,0.060923,145.00,179.267792,2858.86,0.000008,4980.00
0.850,3544.31,-65.24,0.044622,145.00,176.931900,3592.33,0.000034,8030.00
0.900,3835.50,-64.69,0.031422,135.00,182.158997,3607.94,0.000076,8385.00
0.950,2197.49,-67.54,0.049091,135.00,163.254684,2933.26,0.000013,5385.00
1.000,1680.34,-68.81,0.059771,130.00,206.443756,2446.36,0.000004,3775.00
1.050,2086.22,-68.63,0.047819,125.00,166.331909,2728.40,0.000004,5165.00
1.100,3683.80,-66.08,0.029822,125.00,194.924088,3059.20,0.000016,7445.00
1.150,3142.09,-64.22,0.056290,440.00,283.682953,2927.42,0.000011,6485.00
1.200,2064.00,-65.28,0.102157,430.00,376.068756,2527.66,0.000003,3915.00
1.250,1911.99,-67.15,0.097826,570.00,337.632477,2462.45,0.000002,3820.00
1.300,1852.43,-67.58,0.079930,570.00,266.361816,2479.86,0.000002,3875.00
1.350,1572.14,-69.14,0.068745,450.00,335.848236,2361.15,0.000003,3345.00
1.400,1876.33,-68.70,0.062618,335.00,336.528198,2702.09,0.000007,4220.00
1.450,1848.44,-66.95,0.077516,335.00,225.820053,2543.55,0.000012,3585.00
1.500,1719.84,-66.72,0.088384,580.00,390.831940,2340.89,0.000011,3330.00
1.550,1981.33,-67.10,0.085469,575.00,326.449982,2596.39,0.000005,4330.00
1.600,2124.49,-67.58,0.061077,430.00,288.357452,2688.05,0.000005,4970.00
1.650,2325.80,-67.00,0.043472,415.00,251.210861,2725.02,0.000008,4760.00
1.700,2237.98,-66.04,0.068967,395.00,246.570770,2664.99,0.000005,3985.00
1.750,2566.94,-65.44,0.065701,260.00,213.374130,2809.07,0.000006,4775.00
1.800,2546.53,-66.63,0.062200,260.00,176.026657,2815.70,0.000004,5395.00
1.850,2223.91,-68.46,0.054469,260.00,136.109985,2675.77,0.000002,5240.00
1.900,2444.56,-68.47,0.032885,265.00,201.345444,2663.40,0.000005,5465.00
1.950,2912.01,-67.23,0.025240,265.00,108.804420,3095.66,0.000075,6340.00
2.000,5497.22,-60.31,0.028379,135.00,129.443054,4075.32,0.000394,10180.00
2.050,7273.90,-57.16,0.045479,9350.00,180.856216,3658.33,0.000400,10815.00
2.100,7857.10,-57.84,0.045149,9485.00,124.890747,3297.00,0.000304,11190.00
2.150,7043.95,-60.34,0.026098,5485.00,167.930054,3557.22,0.000289,10940.00
2.200,3715.24,-65.16,0.025197,305.00,169.762314,3485.02,0.000073,7750.00
2.250,2018.78,-66.37,0.081000,410.00,392.524811,2504.79,0.000005,4185.00
2.300,1950.32,-67.23,0.105763,400.00,305.134766,2277.12,0.000002,3745.00
2.350,2198.40,-68.30,0.087641,400.00,290.784180,2373.69,0.000001,4225.00
2.400,2213.26,-68.19,0.077260,400.00,133.488220,2504.02,0.000002,4255.00
2.450,2295.16,-67.38,0.069270,400.00,169.358643,2576.09,0.000004,4210.00
2.500,2261.79,-67.33,0.061486,135.00,218.012634,2601.60,0.000008,4230.00
2.550,2512.45,-67.10,0.058818,140.00,210.167496,3130.41,0.000016,5755.00
2.600,5200.74,-62.37,0.038418,140.00,185.631317,4112.31,0.000118,10005.00
2.650,5800.68,-60.98,0.025459,140.00,167.422989,3802.70,0.000425,10215.00
2.700,2922.39,-64.31,0.054830,335.00,294.271515,3515.61,0.000049,6865.00
2.750,1495.45,-68.78,0.085590,325.00,246.588455,2164.15,0.000006,3030.00
2.800,1966.05,-68.19,0.059455,320.00,298.797058,2747.34,0.000016,4160.00
2.850,3342.27,-66.66,0.037122,140.00,255.132202,3890.66,0.000059,8370.00
2.900,2802.15,-66.81,0.053052,140.00,197.811707,3518.66,0.000029,6625.00
2.950,1868.17,-68.02,0.082204,140.00,274.096405,2420.95,0.000008,3555.00
3.000,1860.97,-67.49,0.076871,400.00,326.607056,2181.98,0.000003,3395.00
3.050,1945.73,-67.35,0.067363,485.00,345.868835,2400.16,0.000004,3765.00
3.100,2015.65,-68.48,0.051544,460.00,241.721710,2681.22,0.000005,4375.00
3.150,2119.26,-70.18,0.030271,120.00,195.608658,2868.41,0.000016,5035.00
3.200,1335.39,-67.90,0.094433,270.00,476.031281,2437.49,0.000008,2565.00
3.250,1323.46,-65.51,0.135174,270.00,334.230713,2583.56,0.000011,2240.00
3.300,1923.70,-63.36,0.104963,190.00,536.807983,3190.56,0.000029,4670.00
3.350,2696.69,-61.85,0.089038,190.00,316.314026,3713.84,0.000052,6490.00
3.400,2665.02,-61.76,0.083711,165.00,360.325562,3731.10,0.000063,6585.00
3.450,2233.11,-65.03,0.063263,155.00,304.137665,3434.69,0.000045,5610.00
3.500,1973.81,-68.94,0.045946,95.00,264.837952,2990.04,0.000023,4970.00
3.550,1758.35,-66.75,0.068861,110.00,247.693909,2782.10,0.000025,4115.00
3.600,1933.58,-65.04,0.082153,105.00,251.950882,2976.30,0.000029,4695.00
3.650,3743.33,-61.81,0.065258,105.00,261.740143,3990.81,0.000077,8545.00
3.700,5359.07,-58.56,0.058189,100.00,223.835617,4121.18,0.000229,9755.00
3.750,5286.71,-57.69,0.070417,110.00,258.628906,4031.10,0.000216,9665.00
3.800,5825.49,-57.04,0.075808,110.00,241.080048,4069.78,0.000234,10010.00
3.850,5422.52,-57.19,0.075204,110.00,189.345764,4228.67,0.000235,9800.00
3.900,3614.65,-59.55,0.078495,115.00,315.643768,4023.77,0.000126,8640.00
3.950,1944.80,-64.00,0.084993,140.00,330.024811,2964.85,0.000037,4260.00
4.000,1800.32,-66.10,0.076000,165.00,300.698639,2702.48,0.000023,4155.00
4.050,1773.12,-67.33,0.065230,185.00,267.244476,2583.24,0.000019,4120.00
4.100,1334.75,-67.73,0.084751,165.00,300.207947,2099.03,0.000011,1720.00
4.150,2083.37,-63.98,0.073209,140.00,252.756836,3254.49,0.000047,4185.00
4.200,5821.14,-58.63,0.042755,115.00,309.057861,4914.09,0.000414,11410.00
4.250,7542.97,-57.71,0.035240,70.00,172.809464,4624.07,0.000741,13495.00
4.300,6205.96,-58.95,0.052293,170.00,260.561707,5079.65,0.000261,12760.00
4.350,3740.71,-60.38,0.098478,170.00,370.631104,4633.52,0.000058,9465.00
4.400,2049.45,-63.59,0.094603,385.00,339.045135,3107.87,0.000029,4230.00
4.450,1607.97,-66.92,0.099347,295.00,471.337006,2354.36,0.000009,3395.00
4.500,1666.95,-68.20,0.095766,295.00,254.149231,2436.74,0.000006,3830.00
4.550,1521.80,-68.46,0.078577,295.00,401.275726,2222.09,0.000007,3625.00
4.600,1537.12,-67.86,0.082550,295.00,223.469040,2435.96,0.000009,3465.00
4.650,1808.94,-66.94,0.073843,120.00,282.540802,2790.88,0.000019,4000.00
4.700,2925.39,-64.31,0.055623,110.00,251.623581,3837.87,0.000057,7600.00
4.750,3933.77,-63.06,0.034197,110.00,205.829559,4290.90,0.000202,9305.00
4.800,3081.12,-63.90,0.040335,90.00,164.794830,3885.75,0.000123,7690.00
4.850,1850.05,-64.79,0.087012,120.00,352.079041,3038.30,0.000025,3570.00
4.900,1224.54,-68.10,0.097883,120.00,296.873383,2264.42,0.000008,2145.00
4.950,1483.79,-68.85,0.080936,105.00,409.724609,2293.12,0.000006,3015.00
5.000,1620.45,-68.04,0.072942,100.00,265.052277,2370.76,0.000008,3340.00
5.050,1837.41,-67.62,0.059702,375.00,264.430359,2520.74,0.000012,3960.00
5.100,2179.28,-68.11,0.040029,385.00,191.113098,2737.69,0.000016,4900.00
5.150,2050.37,-67.15,0.051466,405.00,180.855591,2887.25,0.000029,4485.00
5.200,1919.29,-66.81,0.055710,405.00,116.650475,2920.90,0.000032,3810.00
5.250,2322.42,-69.69,0.022790,80.00,227.694427,2916.28,0.000061,4990.00
5.300,2979.70,-70.60,0.012209,85.00,96.470016,2515.37,0.000026,5980.00
5.350,3120.57,-70.12,0.012247,120.00,37.946468,2465.58,0.000002,6085.00
5.400,2339.55,-69.94,0.026526,395.00,131.027649,2416.17,0.000003,5195.00
5.450,1336.19,-69.25,0.121350,395.00,615.863892,2014.18,0.000002,2975.00
5.500,1563.51,-66.26,0.160987,395.00,377.905548,2063.28,0.000005,3040.00
5.550,2008.56,-64.87,0.117574,380.00,596.914307,2169.83,0.000015,3430.00
5.600,2295.49,-65.45,0.100489,385.00,458.696960,2288.96,0.000014,4020.00
5.650,2231.26,-66.00,0.097624,385.00,340.823975,2183.92,0.000006,4025.00
5.700,2007.77,-66.75,0.103543,395.00,452.228394,1996.00,0.000002,3900.00
5.750,1761.33,-68.35,0.101485,400.00,369.999390,1930.25,0.000001,3815.00
5.800,1517.47,-68.45,0.088065,200.00,431.496582,1968.77,0.000001,3630.00
5.850,1620.73,-68.18,0.093214,490.00,417.544037,1995.89,0.000000,3730.00
5.900,1980.67,-69.27,0.053709,490.00,310.755768,2212.21,0.000001,4400.00
5.950,2609.86,-69.78,0.018990,150.00,271.093445,2376.70,0.000029,5035.00
6.000,2510.04,-66.94,0.047769,300.00,228.164841,2614.06,0.000029,4250.00
6.050,2325.20,-64.67,0.107632,485.00,459.723511,2454.13,0.000014,3820.00
6.100,2154.76,-65.68,0.131075,495.00,453.423737,2204.17,0.000006,3815.00
6.150,2033.04,-67.64,0.113275,495.00,463.621979,2044.28,0.000002,3905.00
6.200,1792.96,-67.92,0.092594,500.00,465.499420,1929.75,0.000001,3535.00
6.250,1691.84,-68.11,0.076479,190.00,383.584625,1948.64,0.000002,3060.00
6.300,1603.16,-68.42,0.075395,185.00,253.835907,1946.82,0.000002,2730.00
6.350,1569.37,-68.17,0.095425,350.00,353.308228,1826.86,0.000001,2615.00
6.400,1562.27,-68.08,0.102665,350.00,311.250793,1784.51,0.000001,2715.00
6.450,1542.81,-68.50,0.102048,565.00,345.277252,1798.90,0.000001,2850.00
6.500,1592.93,-68.09,0.076293,360.00,332.726135,2058.09,0.000008,3090.00
6.550,4755.02,-61.79,0.037161,150.00,330.759674,4219.31,0.000145,9800.00
6.600,7029.39,-59.08,0.034288,530.00,167.672958,3922.43,0.000360,11185.00
6.650,7011.00,-60.19,0.028057,175.00,94.354553,3854.74,0.000374,11030.00
6.700,6714.61,-61.55,0.027747,85.00,119.193626,3404.39,0.000237,10100.00
6.750,6282.70,-62.01,0.026389,85.00,66.055611,3369.43,0.000220,9650.00
6.800,4212.50,-66.48,0.015240,390.00,113.209305,3279.98,0.000167,7940.00
6.850,2853.99,-69.88,0.013426,275.00,57.130711,2380.96,0.000025,5530.00
6.900,2866.82,-70.31,0.012482,375.00,43.441422,2328.30,0.000002,5600.00
6.950,2776.75,-70.24,0.013040,150.00,46.115585,2301.74,0.000003,5495.00
7.000,2229.83,-70.31,0.018862,155.00,76.098785,2321.62,0.000026,4605.00
7.050,1672.03,-66.06,0.085252,745.00,440.926270,2021.56,0.000015,2870.00
7.100,1671.60,-64.63,0.132280,300.00,400.278290,2002.33,0.000011,2835.00
7.150,1587.52,-66.78,0.102619,300.00,297.220459,1847.52,0.000008,2815.00
7.200,1506.77,-67.94,0.073669,135.00,420.851715,1811.27,0.000002,2965.00
7.250,1526.42,-68.49,0.073606,390.00,284.626648,1895.64,0.000001,3080.00
7.300,1651.06,-69.20,0.070194,130.00,240.880157,2145.18,0.000003,3685.00
7.350,2399.74,-68.23,0.044458,130.00,198.278763,2980.86,0.000025,5405.00
7.400,2490.76,-64.48,0.055872,405.00,295.008087,3240.37,0.000058,5770.00
7.450,1959.08,-63.62,0.131112,400.00,511.696381,2789.24,0.000015,4055.00
7.500,1882.61,-66.95,0.118434,400.00,305.796936,2397.70,0.000006,3965.00
7.550,1860.78,-68.47,0.095116,405.00,350.344788,2198.00,0.000001,3910.00
7.600,1650.55,-68.40,0.102775,415.00,442.773315,2096.49,0.000000,3730.00
7.650,1625.04,-68.29,0.095614,215.00,382.536346,2108.66,0.000000,3675.00
7.700,1620.25,-68.45,0.078459,225.00,389.227570,2191.77,0.000001,3730.00
