Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,4609.23,-66.73,0.014372,135.00,0.000000,3401.29,0.000248,8165.00
0.050,2794.36,-64.47,0.053380,415.00,273.855103,3053.77,0.000050,5930.00
0.100,1496.15,-68.31,0.082580,535.00,272.952454,1890.46,0.000011,2510.00
0.150,1121.73,-72.80,0.068234,535.00,286.569824,1320.95,0.000004,1495.00
0.200,1011.23,-74.81,0.038352,600.00,244.263687,1376.37,0.000004,1315.00
0.250,1147.14,-75.95,0.015052,605.00,167.451508,1947.36,0.000015,1365.00
0.300,1874.38,-71.61,0.022602,125.00,111.135178,2051.52,0.000019,3595.00
0.350,1909.51,-69.59,0.040625,665.00,134.732864,1822.77,0.000003,3535.00
0.400,1874.02,-70.37,0.041627,575.00,148.976089,1665.66,0.000002,3480.00
0.450,1821.17,-71.74,0.036698,400.00,164.473068,1715.74,0.000001,3505.00
0.500,1940.66,-71.64,0.036363,350.00,167.007111,1883.53,0.000001,3645.00
0.550,2133.70,-71.31,0.042933,630.00,184.005142,1840.74,0.000001,3665.00
0.600,2197.76,-71.74,0.043493,635.00,148.404297,1809.65,0.000001,3670.00
0.650,1953.45,-71.35,0.038970,640.00,148.600418,1777.95,0.000001,3570.00
0.700,1777.58,-72.33,0.032255,430.00,160.813507,1761.57,0.000001,3465.00
0.750,1717.19,-73.14,0.024394,545.00,117.100960,1794.78,0.000002,3450.00
0.800,2113.53,-72.62,0.020300,600.00,102.628952,1777.22,0.000004,3630.00
0.850,2293.85,-72.48,0.022075,605.00,83.548470,1768.01,0.000004,3540.00
0.900,2012.74,-72.92,0.023003,120.00,78.731880,1721.57,0.000003,3295.00
0.950,1841.87,-73.91,0.018388,115.00,81.530396,1667.63,0.000003,3220.00
1.000,1394.37,-75.88,0.013432,220.00,73.864296,1537.23,0.000002,2780.00
1.050,1052.62,-76.57,0.016776,315.00,68.618118,1452.47,0.000001,2435.00
1.100,1424.31,-74.16,0.031879,550.00,132.661469,1530.16,0.000001,3210.00
1.150,1676.71,-71.36,0.044085,595.00,162.092804,1764.39,0.000001,3335.00
1.200,1777.71,-71.29,0.040059,620.00,154.643707,1939.26,0.000002,3425.00
1.250,1729.65,-73.72,0.019165,130.00,152.718735,2134.31,0.000002,3510.00
1.300,1594.30,-74.69,0.015289,130.00,89.433723,2340.59,0.000003,3525.00
1.350,1280.04,-75.74,0.018652,125.00,51.560925,1914.59,0.000002,2800.00
1.400,4085.52,-72.43,0.013582,125.00,57.225498,3798.59,0.000014,8635.00
1.450,5056.13,-68.92,0.010603,125.00,58.383842,3619.79,0.000045,8935.00
1.500,2784.84,-69.18,0.024533,115.00,104.433014,3250.50,0.000005,7470.00
1.550,1259.98,-74.15,0.028448,110.00,84.525505,1727.84,0.000001,2895.00
1.600,1402.92,-74.77,0.021663,205.00,110.444725,1581.32,0.000002,3110.00
1.650,1907.87,-72.88,0.025901,210.00,98.793854,1729.52,0.000002,3500.00
1.700,1891.28,-72.36,0.031864,110.00,116.640160,1738.16,0.000001,3505.00
1.750,1871.91,-72.29,0.034368,565.00,117.029259,1730.24,0.000001,3510.00
1.800,1823.63,-71.97,0.035499,600.00,143.022461,1712.60,0.000001,3525.00
1.850,1757.50,-73.19,0.029806,595.00,113.804382,1672.51,0.000001,3470.00
1.900,1475.46,-74.97,0.015439,595.00,112.996635,1653.10,0.000003,3305.00
1.950,2547.36,-73.15,0.014949,115.00,95.028130,2743.18,0.000007,5340.00
2.000,4114.64,-70.13,0.017259,110.00,45.969872,2888.14,0.000008,6510.00
2.050,5082.90,-69.98,0.011369,110.00,70.933487,2494.69,0.000017,7200.00
2.100,3408.49,-68.84,0.017212,445.00,88.313339,2880.90,0.000010,6295.00
2.150,1968.46,-71.32,0.026688,440.00,93.643814,2211.36,0.000003,3740.00
2.200,1622.81,-73.81,0.027174,455.00,85.272842,1771.23,0.000001,3220.00
2.250,1635.18,-74.22,0.023523,455.00,70.048157,1861.77,0.000001,3190.00
2.300,1440.40,-75.41,0.013973,455.00,89.391861,1830.73,0.000003,2950.00
2.350,1531.96,-76.69,0.008748,170.00,57.446690,2191.95,0.000006,3355.00
2.400,2649.24,-76.27,0.006848,170.00,32.512962,2911.10,0.000012,6395.00
2.450,2344.83,-75.73,0.009152,170.00,26.270559,2521.43,0.000010,3775.00
2.500,2287.59,-77.29,0.005580,155.00,30.170399,2433.30,0.000016,4005.00
2.550,3805.59,-73.45,0.005075,145.00,31.038853,2697.59,0.000066,6325.00
2.600,2622.76,-71.12,0.016109,420.00,79.414917,2626.36,0.000008,5800.00
2.650,1556.42,-72.92,0.025977,425.00,89.588074,1936.47,0.000002,3080.00
2.700,1164.17,-74.86,0.028328,430.00,106.606194,1431.52,0.000001,2095.00
2.750,1013.16,-76.09,0.022008,340.00,89.723404,1356.76,0.000001,1950.00
2.800,1043.52,-76.19,0.020399,320.00,94.204117,1416.39,0.000001,1750.00
2.850,1386.68,-74.50,0.030213,525.00,105.242310,1603.93,0.000001,2965.00
2.900,1450.22,-74.06,0.029201,525.00,53.930351,1633.53,0.000001,3065.00
2.950,1348.17,-75.15,0.017899,215.00,109.719330,1657.77,0.000002,3045.00
3.000,2079.82,-73.91,0.016860,110.00,87.876984,1959.52,0.000004,3620.00
3.050,2064.10,-73.58,0.018450,175.00,54.706062,1923.92,0.000004,3600.00
3.100,1883.82,-74.80,0.014872,175.00,69.511810,1878.05,0.000004,3405.00
3.150,3571.44,-71.16,0.009520,165.00,51.486683,3027.54,0.000032,6915.00
3.200,5612.76,-69.56,0.007649,4060.00,52.226582,2727.82,0.000063,8580.00
3.250,5762.96,-71.13,0.005686,4060.00,18.024256,2707.25,0.000091,8720.00
3.300,2462.29,-73.75,0.009320,410.00,58.997047,2627.07,0.000021,4300.00
3.350,2169.92,-72.43,0.023310,410.00,93.795418,2103.05,0.000004,3485.00
3.400,2222.71,-72.56,0.025606,210.00,73.923775,2000.90,0.000002,3495.00
3.450,2073.18,-74.17,0.020244,210.00,73.179939,1882.25,0.000001,3420.00
3.500,2754.70,-72.56,0.015114,210.00,62.100971,2667.73,0.000004,4985.00
3.550,4446.05,-69.86,0.010347,105.00,55.610104,3183.22,0.000017,8475.00
3.600,4508.28,-70.50,0.007757,115.00,41.829235,3298.28,0.000025,8605.00
3.650,2000.93,-74.31,0.014375,335.00,62.386253,2733.81,0.000003,4435.00
3.700,1397.79,-75.99,0.015242,110.00,35.684563,2087.42,0.000001,2780.00
3.750,2115.39,-75.29,0.010694,200.00,64.686317,2615.68,0.000005,3575.00
3.800,2526.98,-74.25,0.015050,200.00,56.440258,2275.31,0.000004,3565.00
3.850,2473.35,-73.70,0.019405,185.00,70.218895,2091.47,0.000004,3485.00
3.900,2290.38,-73.55,0.020678,355.00,79.748627,1951.17,0.000004,3385.00
3.950,1913.61,-74.45,0.018266,385.00,82.542793,1727.72,0.000003,3160.00
4.000,1656.95,-75.70,0.014303,380.00,72.828468,1588.83,0.000001,3035.00
4.050,1237.01,-76.40,0.011310,150.00,45.058571,1543.29,0.000002,2925.00
4.100,951.64,-78.01,0.006485,145.00,42.575001,1562.39,0.000003,2220.00
4.150,1172.70,-79.50,0.001523,125.00,32.703873,2158.86,0.000022,2350.00
4.200,3179.25,-79.40,0.000472,0.00,8.567160,2630.89,0.000507,5500.00
4.250,3523.47,-78.23,0.000897,0.00,3.300846,2585.67,0.000245,5900.00
4.300,3732.60,-77.63,0.001127,2760.00,3.453498,2606.63,0.000113,6045.00
