Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,7109.99,-80.00,0.000000,7570.00,0.000000,4650.08,0.999999,12740.00
0.050,2206.47,-76.90,0.004453,55.00,27.794281,3078.02,0.000118,4690.00
0.100,2095.91,-70.33,0.032504,50.00,178.167587,2928.00,0.000033,4230.00
0.150,2026.89,-68.69,0.061036,50.00,211.933838,2810.07,0.000016,3890.00
0.200,1901.53,-66.15,0.091707,50.00,345.531586,2550.46,0.000014,3140.00
0.250,1854.68,-64.52,0.126630,275.00,421.709930,2415.57,0.000010,3005.00
0.300,1683.34,-65.63,0.146022,50.00,508.352417,2217.69,0.000005,2670.00
0.350,1445.76,-66.55,0.140175,50.00,529.612915,1989.78,0.000005,2330.00
0.400,1303.48,-67.16,0.112286,50.00,513.801636,1923.04,0.000008,2140.00
0.450,1375.21,-66.92,0.108976,50.00,369.270355,2117.88,0.000009,2460.00
0.500,1420.36,-67.68,0.106875,50.00,280.312897,2158.28,0.000006,2395.00
0.550,1244.80,-69.41,0.099534,50.00,344.463654,2041.28,0.000004,2115.00
0.600,1431.97,-67.27,0.108219,50.00,358.404572,2185.84,0.000008,2450.00
0.650,1633.97,-65.71,0.121661,50.00,379.808655,2228.56,0.000011,2840.00
0.700,1511.03,-66.85,0.113835,50.00,381.263336,2030.67,0.000010,2810.00
0.750,1834.75,-64.59,0.106521,50.00,297.982666,2473.72,0.000022,3315.00
0.800,3610.71,-57.17,0.100244,50.00,286.551361,3860.27,0.000155,7910.00
0.850,4434.04,-55.08,0.097854,50.00,298.369812,4049.59,0.000271,9015.00
0.900,3748.91,-56.40,0.099623,50.00,319.155579,3845.77,0.000191,8205.00
0.950,2222.45,-62.38,0.097639,50.00,246.397995,2911.93,0.000042,4505.00
1.000,1734.50,-67.40,0.080793,50.00,246.559845,2435.36,0.000011,2810.00
1.050,2403.93,-63.67,0.084501,50.00,223.796005,3351.47,0.000032,6465.00
1.100,4218.81,-60.40,0.070568,50.00,194.623810,4222.27,0.000106,9375.00
1.150,5144.40,-60.11,0.042832,45.00,241.217422,4234.13,0.000458,9820.00
1.200,4359.69,-57.13,0.053667,60.00,238.406693,4399.40,0.000794,9795.00
1.250,3319.46,-57.86,0.102546,60.00,413.760864,4112.46,0.000200,8545.00
1.300,1576.27,-64.61,0.127759,55.00,375.666931,2470.83,0.000021,2615.00
1.350,1622.76,-65.13,0.116423,50.00,486.777924,2449.95,0.000013,2820.00
1.400,2335.39,-63.64,0.088131,50.00,346.367859,3200.90,0.000033,4925.00
1.450,2832.93,-62.17,0.081527,50.00,374.782196,3681.44,0.000055,7915.00
1.500,1899.86,-65.32,0.100798,50.00,228.787537,3040.17,0.000016,3285.00
1.550,2686.26,-62.62,0.094891,50.00,287.408936,3627.03,0.000038,7660.00
1.600,5276.77,-58.10,0.079405,50.00,259.069550,4312.17,0.000154,10050.00
1.650,4995.27,-56.69,0.091376,50.00,190.525558,4294.62,0.000189,9880.00
1.700,3036.64,-60.01,0.102495,50.00,226.289185,3703.04,0.000071,8315.00
1.750,2290.95,-63.96,0.091580,50.00,306.626556,3130.87,0.000028,5515.00
1.800,4218.03,-56.99,0.093616,50.00,196.815353,4056.30,0.000167,9055.00
1.850,5118.92,-54.27,0.084373,50.00,262.102570,4121.65,0.000404,9930.00
1.900,4466.32,-55.49,0.091485,50.00,265.598969,4041.18,0.000258,9220.00
1.950,2556.61,-59.64,0.107607,50.00,326.279968,3246.55,0.000113,5830.00
2.000,2977.48,-58.29,0.079193,555.00,338.002960,3816.06,0.000277,6720.00
2.050,3490.82,-57.09,0.089746,60.00,397.875366,4033.92,0.000268,8100.00
2.100,2630.07,-61.56,0.107412,55.00,318.131287,3324.50,0.000058,6560.00
2.150,1668.05,-67.16,0.090467,50.00,346.231049,2467.87,0.000009,3080.00
2.200,1477.88,-69.18,0.076985,50.00,281.494049,2251.58,0.000007,2425.00
2.250,1458.25,-67.93,0.089749,50.00,328.550598,2160.77,0.000007,2385.00
2.300,1207.84,-67.44,0.129448,50.00,433.783386,1876.91,0.000005,2120.00
2.350,1520.04,-65.18,0.133583,50.00,419.353638,2260.11,0.000010,2640.00
2.400,3029.30,-59.71,0.095113,50.00,405.175629,3526.10,0.000074,6750.00
2.450,4423.25,-55.66,0.085474,50.00,383.017731,3991.96,0.000267,9000.00
2.500,4015.42,-55.47,0.113028,515.00,451.153900,3946.72,0.000181,8560.00
2.550,2873.79,-59.01,0.112135,515.00,381.035095,3433.53,0.000076,6690.00
2.600,2050.29,-65.86,0.072762,115.00,424.640442,2620.82,0.000025,3690.00
2.650,1743.86,-67.18,0.063913,115.00,292.591827,2447.25,0.000015,3030.00
2.700,1389.01,-68.53,0.087857,115.00,266.697754,2133.60,0.000006,2375.00
2.750,1371.64,-69.94,0.071405,115.00,206.545609,2173.78,0.000009,2430.00
2.800,3722.72,-59.29,0.057221,110.00,287.499115,4021.30,0.000230,8370.00
2.850,4162.36,-54.92,0.090008,120.00,294.560211,4094.37,0.000338,8915.00
2.900,3858.55,-55.15,0.110723,115.00,378.492706,3940.21,0.000221,8330.00
2.950,2937.34,-58.78,0.103667,115.00,344.381134,3503.37,0.000093,6855.00
3.000,1683.78,-66.49,0.073086,110.00,351.174683,2432.78,0.000025,2725.00
3.050,1348.91,-71.44,0.046187,435.00,267.997375,2158.95,0.000011,2240.00
3.100,1170.79,-75.08,0.021997,220.00,181.372070,1978.94,0.000008,2030.00
3.150,2518.17,-73.95,0.006989,440.00,106.316544,2885.60,0.000100,5545.00
3.200,2868.09,-73.03,0.006547,0.00,31.202637,3008.43,0.000180,6175.00
3.250,3518.91,-67.37,0.016050,585.00,71.424370,3469.51,0.000211,7890.00
3.300,4688.81,-60.85,0.033152,465.00,139.882965,3579.51,0.000321,8650.00
3.350,4110.85,-60.00,0.060187,465.00,238.268448,3574.32,0.000133,8330.00
3.400,2672.26,-64.41,0.061845,1570.00,156.642120,3175.89,0.000038,6760.00
3.450,2250.25,-65.36,0.053143,440.00,241.777206,2789.29,0.000042,4290.00
3.500,2121.60,-65.13,0.065531,450.00,252.565948,2605.29,0.000026,3510.00
3.550,2346.09,-66.91,0.052990,475.00,185.208740,2729.32,0.000020,4140.00
3.600,3932.45,-64.04,0.028635,230.00,208.766113,3627.38,0.000172,8305.00
3.650,4643.26,-60.81,0.037723,440.00,175.136307,3737.42,0.000261,8840.00
3.700,3141.68,-62.67,0.061738,435.00,214.246613,3418.40,0.000061,7120.00
3.750,2112.75,-67.52,0.061422,295.00,214.819077,2677.04,0.000013,3660.00
3.800,2168.94,-69.37,0.045404,295.00,197.780991,2766.34,0.000013,3985.00
3.850,1855.43,-68.48,0.053458,400.00,279.359161,2518.29,0.000014,3210.00
3.900,2217.29,-65.99,0.069858,395.00,207.498596,2939.80,0.000024,5285.00
3.950,5106.66,-60.95,0.042632,395.00,251.732697,3795.53,0.000215,9085.00
4.000,6443.15,-60.67,0.026160,785.00,202.362534,3284.20,0.000561,9430.00
4.050,3784.43,-62.67,0.041045,460.00,231.971237,3578.78,0.000139,8075.00
4.100,1948.43,-65.21,0.087694,470.00,340.131012,2537.05,0.000019,3525.00
4.150,1869.14,-66.65,0.077252,475.00,236.824646,2524.85,0.000018,3245.00
4.200,4492.15,-63.08,0.039453,1175.00,354.508484,3980.77,0.000129,8935.00
4.250,4804.93,-59.86,0.046643,385.00,232.158417,4029.00,0.000234,9270.00
4.300,3021.02,-61.75,0.080598,375.00,303.434174,3522.95,0.000055,7795.00
4.350,1671.03,-67.42,0.099155,420.00,395.551483,2212.89,0.000007,2795.00
4.400,1625.67,-69.43,0.086800,420.00,315.989288,2196.18,0.000003,2660.00
4.450,1516.65,-68.71,0.079010,400.00,355.397186,2080.51,0.000006,2190.00
4.500,1604.30,-66.71,0.084269,395.00,298.261230,2155.42,0.000012,2465.00
4.550,1860.53,-66.73,0.059433,420.00,283.040710,2454.19,0.000022,3160.00
4.600,2318.24,-68.27,0.043311,235.00,270.121979,2910.08,0.000020,4415.00
4.650,2217.87,-66.89,0.051797,235.00,154.971069,2766.85,0.000022,4180.00
4.700,1967.68,-66.50,0.064520,370.00,229.041962,2643.02,0.000025,3395.00
4.750,4179.49,-61.95,0.045208,365.00,194.111267,4000.99,0.000145,9290.00
4.800,6189.06,-61.22,0.024317,365.00,207.695343,3799.94,0.000523,10020.00
4.850,4057.35,-62.80,0.037549,405.00,196.205429,4126.38,0.000149,9425.00
4.900,2336.36,-64.98,0.057510,380.00,182.888687,3168.99,0.000042,4715.00
4.950,3536.14,-61.33,0.047823,375.00,216.485077,3550.93,0.000156,7770.00
5.000,5327.41,-58.93,0.045339,1570.00,224.099365,3706.67,0.000302,9515.00
5.050,4272.58,-59.45,0.056856,1570.00,203.798584,3775.70,0.000184,8530.00
5.100,2406.06,-63.86,0.071474,255.00,248.216766,3021.80,0.000040,5455.00
5.150,1685.79,-67.97,0.065631,250.00,224.085175,2482.12,0.000012,2835.00
5.200,1870.29,-70.07,0.036413,490.00,235.365479,2868.69,0.000020,3575.00
5.250,1700.22,-68.70,0.052621,135.00,251.789352,2651.93,0.000017,2790.00
