Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.050,6004.74,-80.00,0.000000,115.00,0.000173,6091.78,0.990763,13205.00
0.100,1007.96,-79.66,0.000482,45.00,3.004592,1803.00,0.000058,1740.00
0.150,940.69,-78.18,0.005880,55.00,34.465908,1761.07,0.000008,1665.00
0.200,915.02,-76.98,0.019513,55.00,89.837410,1785.41,0.000003,1530.00
0.250,967.08,-76.08,0.034982,60.00,105.276878,1908.41,0.000002,1595.00
0.300,1051.69,-75.12,0.049000,60.00,103.337303,2045.16,0.000002,1740.00
0.350,980.87,-74.24,0.063113,60.00,130.742493,1954.62,0.000002,1555.00
0.400,848.00,-72.67,0.089323,60.00,292.968323,1728.41,0.000002,1340.00
0.450,850.83,-72.43,0.104052,115.00,224.217331,1719.87,0.000002,1360.00
0.500,916.31,-73.90,0.086555,115.00,220.804688,1830.92,0.000001,1405.00
0.550,983.47,-74.18,0.072607,120.00,131.207275,1924.10,0.000002,1565.00
0.600,978.12,-74.05,0.069914,120.00,102.192482,1912.52,0.000002,1630.00
0.650,931.46,-73.90,0.073744,120.00,105.027321,1830.17,0.000002,1585.00
0.700,918.08,-74.15,0.070179,60.00,130.243134,1855.96,0.000002,1505.00
0.750,1070.94,-74.11,0.056858,60.00,150.335007,2014.28,0.000003,1820.00
0.800,1056.27,-73.96,0.058046,60.00,120.511513,1948.53,0.000003,1785.00
0.850,998.11,-74.12,0.062122,60.00,101.518661,1892.84,0.000002,1735.00
0.900,945.52,-73.61,0.066445,55.00,150.774841,1823.87,0.000002,1580.00
0.950,915.40,-73.59,0.076430,60.00,142.383392,1798.88,0.000002,1545.00
1.000,978.49,-74.01,0.075759,60.00,130.456085,1938.25,0.000002,1575.00
1.050,1024.16,-73.87,0.072173,60.00,103.877281,2019.88,0.000002,1635.00
1.100,1007.58,-73.89,0.071521,60.00,81.374901,1987.63,0.000002,1620.00
1.150,873.99,-72.93,0.088983,60.00,274.926758,1729.70,0.000002,1335.00
1.200,841.80,-72.67,0.107608,60.00,197.881409,1684.39,0.000002,1265.00
1.250,873.00,-73.88,0.095749,60.00,212.018829,1764.78,0.000001,1385.00
1.300,871.63,-74.22,0.093329,60.00,130.274246,1839.52,0.000001,1395.00
1.350,899.46,-73.97,0.093539,60.00,133.129745,1876.05,0.000001,1430.00
1.400,913.98,-73.99,0.092372,60.00,118.888405,1900.61,0.000001,1490.00
1.450,950.27,-74.17,0.085839,60.00,98.328331,1968.41,0.000001,1565.00
1.500,1035.68,-74.01,0.077519,60.00,113.215584,2013.15,0.000001,1840.00
1.550,1030.13,-73.95,0.069779,60.00,116.047836,1927.47,0.000002,1755.00
1.600,1029.70,-74.16,0.062394,60.00,118.666481,1945.73,0.000002,1675.00
1.650,902.87,-73.81,0.074922,60.00,149.729691,1821.65,0.000002,1495.00
1.700,856.78,-73.82,0.086602,60.00,136.745789,1790.15,0.000001,1385.00
1.750,940.23,-74.00,0.078067,60.00,146.094666,1919.68,0.000002,1485.00
1.800,1045.86,-73.92,0.065917,60.00,131.445511,1994.04,0.000002,1670.00
1.850,1079.04,-73.97,0.060009,60.00,101.222061,2009.87,0.000002,1860.00
1.900,972.35,-72.60,0.070912,55.00,225.812195,1869.70,0.000003,1670.00
1.950,911.77,-72.40,0.083042,115.00,186.361359,1813.50,0.000003,1460.00
2.000,916.23,-73.98,0.073070,115.00,185.289978,1862.11,0.000002,1385.00
2.050,943.74,-74.21,0.063765,60.00,114.714828,1866.29,0.000002,1420.00
2.100,981.39,-74.18,0.054452,60.00,121.128418,1887.54,0.000003,1550.00
2.150,1055.01,-74.18,0.046611,60.00,122.250282,1989.74,0.000004,1725.00
2.200,1112.26,-74.29,0.041013,55.00,112.892036,2082.32,0.000005,1810.00
2.250,1111.34,-74.24,0.038875,60.00,117.879860,2061.87,0.000005,1900.00
2.300,1074.49,-74.13,0.046275,235.00,137.999573,1980.37,0.000004,1790.00
2.350,1093.62,-74.22,0.049097,230.00,119.206566,2038.70,0.000003,1770.00
2.400,983.63,-73.59,0.052195,230.00,161.837708,1884.75,0.000004,1580.00
2.450,918.09,-73.57,0.057361,60.00,156.876968,1793.29,0.000004,1410.00
2.500,976.60,-74.17,0.053922,60.00,164.113113,1926.06,0.000003,1500.00
2.550,1009.89,-74.21,0.056758,60.00,120.290138,2019.27,0.000003,1640.00
2.600,934.18,-74.07,0.063530,60.00,99.398613,1904.21,0.000002,1450.00
2.650,782.42,-73.07,0.087618,60.00,286.017639,1659.76,0.000002,1085.00
2.700,787.02,-73.07,0.093253,115.00,173.433380,1677.85,0.000002,1095.00
2.750,875.12,-74.39,0.071815,175.00,280.141296,1829.18,0.000002,1285.00
2.800,907.48,-74.42,0.065434,175.00,120.515175,1842.22,0.000002,1350.00
2.850,925.06,-74.33,0.060933,175.00,100.798859,1892.79,0.000002,1355.00
2.900,935.86,-74.23,0.058479,175.00,110.755386,1901.90,0.000002,1435.00
2.950,990.22,-74.19,0.052889,55.00,144.350723,1954.37,0.000003,1585.00
3.000,1071.28,-74.42,0.049430,60.00,100.205719,2076.60,0.000003,1750.00
3.050,1081.29,-74.45,0.046673,60.00,98.919693,2037.13,0.000003,1820.00
3.100,995.30,-74.41,0.049631,60.00,94.079178,1963.48,0.000003,1525.00
3.150,821.73,-73.77,0.073892,55.00,234.276978,1767.69,0.000002,1245.00
3.200,723.58,-73.83,0.099488,60.00,244.745956,1618.30,0.000001,1060.00
3.250,740.10,-74.52,0.097033,60.00,213.504593,1684.21,0.000001,1045.00
3.300,790.23,-74.70,0.091131,60.00,113.688873,1824.26,0.000001,1080.00
3.350,857.09,-74.41,0.085285,60.00,114.962898,1904.45,0.000001,1275.00
3.400,919.37,-72.47,0.094226,60.00,219.464554,1796.32,0.000002,1460.00
3.450,905.43,-72.37,0.098061,60.00,134.381882,1790.41,0.000002,1430.00
3.500,867.51,-74.43,0.085172,60.00,228.845551,1865.83,0.000001,1240.00
3.550,916.20,-74.47,0.080978,60.00,112.729309,1949.39,0.000001,1365.00
3.600,899.15,-74.51,0.075213,60.00,111.177139,1915.94,0.000001,1260.00
3.650,844.43,-74.60,0.073830,60.00,127.909058,1852.82,0.000001,1165.00
3.700,818.54,-74.62,0.078670,60.00,131.738876,1845.82,0.000001,1195.00
3.750,821.58,-74.72,0.075475,60.00,120.814621,1845.31,0.000001,1160.00
3.800,856.55,-74.52,0.073112,60.00,171.065079,1822.88,0.000002,1210.00
3.850,897.63,-74.78,0.066415,115.00,120.118446,1909.13,0.000002,1300.00
3.900,910.23,-73.99,0.061935,115.00,165.022766,1805.30,0.000003,1490.00
3.950,887.88,-73.88,0.064369,60.00,204.452744,1751.04,0.000003,1430.00
4.000,871.74,-74.61,0.060716,60.00,132.598312,1868.43,0.000002,1115.00
4.050,944.47,-74.67,0.057921,60.00,113.453598,1987.67,0.000002,1305.00
4.100,943.33,-74.54,0.057919,175.00,89.873093,1986.60,0.000003,1375.00
4.150,908.92,-72.12,0.086833,120.00,319.335663,1870.66,0.000003,1435.00
4.200,920.68,-71.99,0.106465,115.00,255.077103,1873.43,0.000002,1480.00
4.250,954.60,-74.23,0.083774,115.00,261.440582,1993.95,0.000001,1395.00
4.300,938.11,-74.83,0.072680,115.00,130.313019,1994.73,0.000001,1360.00
4.350,873.44,-74.81,0.068882,115.00,140.961533,1891.55,0.000001,1230.00
4.400,860.36,-74.58,0.073035,115.00,145.836380,1837.52,0.000001,1275.00
4.450,921.25,-74.41,0.068145,235.00,118.955536,1902.53,0.000002,1375.00
4.500,1022.09,-74.43,0.057960,235.00,109.148499,2031.88,0.000002,1575.00
4.550,1008.01,-74.75,0.050780,120.00,111.497475,2017.10,0.000003,1585.00
4.600,958.79,-74.80,0.053333,120.00,85.592392,1976.46,0.000002,1420.00
4.650,965.54,-73.57,0.054303,120.00,158.157501,1825.26,0.000004,1585.00
4.700,945.90,-73.57,0.058523,60.00,179.399063,1756.39,0.000003,1580.00
4.750,923.53,-74.48,0.058020,60.00,134.088181,1894.85,0.000002,1340.00
4.800,1010.46,-74.52,0.054217,60.00,129.118332,2050.90,0.000003,1535.00
4.850,957.12,-74.29,0.058154,60.00,103.519981,1961.56,0.000003,1400.00
4.900,1007.90,-71.03,0.084266,60.00,321.845764,1808.34,0.000005,1645.00
4.950,966.18,-71.11,0.095113,115.00,215.654922,1701.91,0.000004,1555.00
5.000,874.36,-74.31,0.078486,470.00,313.556732,1650.61,0.000001,1230.00
5.050,831.24,-74.99,0.074626,465.00,124.456062,1711.63,0.000001,1155.00
5.100,812.98,-74.78,0.069573,465.00,128.527039,1683.24,0.000001,1110.00
5.150,872.70,-74.09,0.065252,465.00,138.702362,1612.97,0.000002,1375.00
5.200,888.01,-74.04,0.062379,115.00,182.586929,1607.73,0.000002,1415.00
5.250,896.85,-74.71,0.056686,115.00,124.451164,1761.91,0.000002,1360.00
5.300,880.41,-74.94,0.054572,260.00,100.399994,1771.16,0.000002,1305.00
5.350,920.37,-74.97,0.045557,260.00,120.020241,1831.43,0.000003,1305.00
5.400,877.04,-73.61,0.056109,175.00,182.188492,1605.63,0.000004,1360.00
5.450,836.39,-73.60,0.069054,175.00,180.279297,1532.92,0.000002,1290.00
5.500,796.71,-74.90,0.064514,175.00,184.182236,1585.41,0.000002,1045.00
5.550,759.67,-74.95,0.068730,120.00,121.055092,1571.12,0.000001,990.00
5.600,817.08,-74.88,0.059425,115.00,128.648010,1677.42,0.000002,1115.00
5.650,949.03,-72.31,0.072373,115.00,217.704361,1723.37,0.000004,1495.00
5.700,945.08,-72.02,0.086158,115.00,200.026886,1691.31,0.000003,1470.00
5.750,895.86,-74.56,0.061518,115.00,260.012665,1734.06,0.000002,1355.00
5.800,875.32,-75.26,0.052613,175.00,161.951630,1759.07,0.000002,1180.00
5.850,887.24,-75.09,0.051341,175.00,111.305840,1748.42,0.000002,1235.00
5.900,871.89,-74.59,0.053832,175.00,136.603516,1638.56,0.000002,1270.00
5.950,833.00,-74.59,0.064105,260.00,176.868820,1584.04,0.000002,1270.00
6.000,781.00,-75.16,0.067416,260.00,150.819916,1645.20,0.000001,1070.00
6.050,749.45,-75.27,0.069451,260.00,107.652489,1588.44,0.000001,995.00
6.100,787.66,-75.22,0.069351,260.00,116.720688,1647.94,0.000001,1090.00
6.150,859.64,-74.16,0.074735,115.00,134.330170,1606.35,0.000001,1505.00
6.200,817.58,-74.02,0.082749,115.00,166.084259,1515.99,0.000001,1395.00
6.250,735.50,-75.05,0.081863,275.00,154.623886,1563.09,0.000001,960.00
6.300,780.94,-75.21,0.075009,275.00,145.438950,1649.48,0.000001,1035.00
6.350,868.75,-74.98,0.062171,275.00,124.680923,1726.76,0.000001,1260.00
6.400,981.17,-71.92,0.077324,275.00,268.909271,1812.06,0.000004,1620.00
6.450,951.92,-71.73,0.090460,230.00,241.265808,1800.36,0.000003,1595.00
6.500,802.87,-74.80,0.072308,230.00,259.783752,1668.09,0.000001,1125.00
6.550,792.73,-75.37,0.062679,230.00,119.335243,1661.03,0.000001,1070.00
6.600,804.69,-75.18,0.059288,60.00,131.171967,1642.56,0.000002,1090.00
6.650,851.21,-74.77,0.059448,60.00,123.587502,1662.58,0.000002,1240.00
