Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.050,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.100,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.150,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.200,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.250,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.300,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.350,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.400,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.450,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.500,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.550,0.00,-80.00,0.000000,0.00,0.000000,0.00,0.999999,0.00
0.600,5012.25,-80.00,0.000003,330.00,0.019428,4393.28,0.064825,10495.00
0.650,2175.12,-75.65,0.014537,250.00,90.653618,3128.69,0.000052,5555.00
0.700,2271.57,-68.62,0.065507,250.00,325.860229,3112.69,0.000037,5235.00
0.750,2431.71,-66.17,0.092063,240.00,263.360474,3145.45,0.000038,5740.00
0.800,2135.65,-69.21,0.093863,230.00,417.867859,3000.95,0.000014,4765.00
0.850,2222.27,-72.70,0.072614,230.00,210.304428,3637.00,0.000007,6470.00
0.900,4621.19,-68.45,0.027450,230.00,314.359222,4747.00,0.000150,10565.00
0.950,4405.54,-62.91,0.050458,160.00,229.088058,4700.97,0.000256,10425.00
1.000,3379.00,-61.44,0.092311,60.00,354.506073,4268.52,0.000146,8970.00
1.050,2236.78,-64.20,0.106170,45.00,325.087219,3245.32,0.000059,5060.00
1.100,2126.29,-67.31,0.075096,40.00,364.045624,2834.28,0.000045,3680.00
1.150,3507.93,-64.85,0.052803,775.00,279.756348,4069.86,0.000140,8895.00
1.200,4530.12,-63.78,0.046949,775.00,165.138290,4561.43,0.000213,10335.00
1.250,4067.47,-65.84,0.034470,780.00,140.539230,4357.19,0.000216,9830.00
1.300,3638.74,-67.26,0.029356,785.00,106.980835,3983.19,0.000195,8420.00
1.350,3478.30,-65.98,0.034914,125.00,144.760727,3998.00,0.000214,8270.00
