Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,2756.35,-76.09,0.043290,30.00,0.000000,4494.31,0.000695,6980.00
0.050,2711.16,-72.45,0.102536,0.00,475.207184,4482.67,0.000420,6800.00
0.100,2708.00,-71.85,0.131976,5.00,384.110931,4487.64,0.000304,6830.00
0.150,2789.63,-71.82,0.119927,10.00,438.415527,4533.14,0.000397,7005.00
0.200,2714.28,-71.92,0.158052,0.00,713.222595,4483.07,0.000185,6755.00
0.250,2602.42,-71.83,0.168454,0.00,452.777679,4414.17,0.000147,6435.00
0.300,2592.31,-71.70,0.144862,0.00,503.787537,4420.37,0.000226,6435.00
0.350,2398.77,-71.57,0.210747,0.00,666.958740,4314.45,0.000109,5940.00
0.400,2259.14,-71.79,0.243438,0.00,452.789917,4245.05,0.000081,5540.00
0.450,2515.35,-71.76,0.158655,5.00,1092.916992,4396.91,0.000233,6300.00
0.500,2533.99,-71.85,0.157354,10.00,453.879425,4404.13,0.000239,6410.00
0.550,2572.40,-71.91,0.147975,15.00,489.658447,4434.52,0.000241,6445.00
0.600,2534.90,-71.79,0.140238,0.00,376.165619,4404.48,0.000281,6350.00
0.650,2486.68,-71.73,0.153476,30.00,480.356659,4381.53,0.000266,6200.00
0.700,2365.98,-71.79,0.175876,20.00,585.744629,4282.85,0.000203,5745.00
0.750,2348.99,-71.79,0.168102,20.00,571.922180,4256.68,0.000215,5725.00
0.800,2282.04,-71.83,0.184715,0.00,627.942261,4220.39,0.000148,5495.00
0.850,2405.72,-71.83,0.194998,0.00,519.143799,4304.25,0.000112,5885.00
0.900,2250.07,-71.93,0.225561,0.00,407.051483,4234.51,0.000087,5430.00
0.950,2273.79,-71.87,0.191427,0.00,721.580078,4247.20,0.000137,5415.00
1.000,2368.90,-71.87,0.191681,15.00,731.488586,4306.91,0.000153,5755.00
1.050,2022.50,-71.89,0.275951,0.00,925.485779,4065.77,0.000068,4575.00
1.100,2137.34,-71.87,0.299844,0.00,1048.219116,4142.34,0.000052,4985.00
1.150,2423.40,-71.80,0.199473,10.00,1199.703857,4341.22,0.000130,5895.00
1.200,2178.51,-71.75,0.265563,10.00,731.664185,4153.97,0.000087,5015.00
1.250,1883.10,-71.72,0.395786,5.00,1597.363892,3938.10,0.000034,4085.00
1.300,2044.93,-71.73,0.294030,5.00,1045.633179,4083.12,0.000068,4650.00
1.350,2291.93,-71.74,0.206518,0.00,882.963562,4272.81,0.000119,5455.00
1.400,2112.75,-71.74,0.289968,0.00,993.260559,4144.86,0.000052,4915.00
1.450,2058.51,-71.82,0.309473,0.00,511.947876,4096.15,0.000044,4760.00
1.500,2306.91,-71.96,0.201378,5.00,1147.528931,4259.38,0.000125,5565.00
1.550,2613.01,-71.76,0.155461,10.00,893.260803,4435.85,0.000261,6485.00
1.600,2641.72,-71.70,0.161281,10.00,368.204865,4455.03,0.000239,6615.00
1.650,2529.64,-71.75,0.150854,5.00,734.137573,4388.52,0.000246,6350.00
1.700,2466.13,-71.65,0.174874,5.00,396.788940,4359.29,0.000183,6110.00
1.750,2531.37,-71.72,0.173488,5.00,498.706940,4414.85,0.000203,6320.00
1.800,2505.56,-71.84,0.167754,5.00,439.407898,4369.75,0.000200,6180.00
1.850,2494.02,-71.76,0.138229,10.00,675.841431,4343.29,0.000327,6085.00
1.900,2513.92,-71.70,0.142370,5.00,617.986145,4367.15,0.000271,6130.00
1.950,2326.13,-71.66,0.197362,5.00,599.607422,4258.02,0.000151,5705.00
2.000,2728.78,-71.78,0.152796,10.00,697.248718,4504.39,0.000266,6975.00
2.050,2868.26,-71.86,0.126184,15.00,632.566345,4589.68,0.000378,7375.00
2.100,2629.48,-71.79,0.146014,10.00,510.688232,4461.91,0.000285,6645.00
2.150,2366.65,-71.77,0.190442,0.00,868.201172,4257.68,0.000130,5720.00
2.200,2176.46,-71.76,0.205845,0.00,419.767151,4097.73,0.000103,5055.00
2.250,2153.07,-71.91,0.247233,0.00,585.015015,4126.12,0.000066,5015.00
2.300,2110.69,-71.81,0.296087,0.00,496.023712,4111.16,0.000050,4810.00
2.350,2330.01,-71.83,0.208526,0.00,879.464661,4284.67,0.000092,5620.00
2.400,2249.50,-71.71,0.234957,0.00,725.672302,4253.54,0.000094,5400.00
2.450,2322.56,-71.70,0.212580,5.00,923.133301,4254.05,0.000139,5575.00
2.500,2213.61,-71.63,0.230882,5.00,857.486633,4171.21,0.000102,5310.00
2.550,2466.97,-71.76,0.185356,5.00,977.694885,4328.44,0.000183,6085.00
2.600,2375.74,-71.93,0.183329,0.00,1162.822266,4298.39,0.000123,5830.00
