Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,3773.26,-61.66,0.131291,100.00,0.000000,4876.91,0.000340,9935.00
0.050,3294.88,-60.27,0.252414,100.00,993.165955,4804.34,0.000142,9150.00
0.100,2045.79,-67.54,0.234556,100.00,946.163086,4065.57,0.000024,5730.00
0.150,2655.62,-66.93,0.203311,100.00,833.668335,4553.45,0.000035,8080.00
0.200,4583.13,-61.75,0.184190,100.00,465.892212,5465.56,0.000163,11650.00
0.250,4143.03,-64.83,0.155212,100.00,383.122864,5355.41,0.000100,11155.00
0.300,2538.95,-69.35,0.134004,100.00,384.945282,3940.24,0.000038,6540.00
0.350,4144.64,-58.73,0.139615,100.00,383.033813,4390.64,0.000666,8780.00
0.400,4374.31,-57.43,0.136151,100.00,167.935181,4367.22,0.000982,9080.00
0.450,3666.25,-64.20,0.114758,100.00,351.256439,4090.11,0.000202,7895.00
0.500,4445.62,-65.64,0.104459,100.00,166.742905,5134.89,0.000158,10930.00
0.550,6254.44,-61.95,0.099886,100.00,144.789078,5509.10,0.000455,12735.00
0.600,4854.45,-63.32,0.092216,100.00,133.588943,5063.82,0.000375,11055.00
0.650,3686.92,-65.68,0.088385,100.00,123.245491,4161.60,0.000219,8430.00
0.700,6136.26,-62.67,0.082442,100.00,127.577576,5517.26,0.000570,12730.00
0.750,6282.74,-62.14,0.079641,195.00,85.945969,5422.65,0.000713,12645.00
0.800,4040.99,-65.07,0.080775,195.00,120.960762,4288.06,0.000323,8935.00
0.850,4206.16,-62.56,0.093860,195.00,375.595581,4781.59,0.000521,9740.00
0.900,4023.27,-60.07,0.180971,70.00,830.268982,5053.31,0.000285,10280.00
0.950,2834.59,-65.12,0.213214,65.00,764.821167,4647.29,0.000051,8430.00
1.000,2524.92,-66.71,0.173790,45.00,892.135681,3968.21,0.000051,6455.00
1.050,4223.31,-58.23,0.151389,45.00,698.246704,4465.17,0.000665,9250.00
1.100,4254.01,-58.45,0.123906,40.00,396.568848,4382.69,0.000922,9175.00
1.150,3388.48,-66.21,0.086391,195.00,512.068604,3938.84,0.000201,7530.00
1.200,5150.67,-63.78,0.085689,195.00,230.375549,5292.60,0.000401,11670.00
1.250,5824.59,-61.26,0.093135,195.00,308.887268,5431.49,0.000674,12445.00
1.300,4610.83,-64.38,0.093609,885.00,230.260925,4870.80,0.000283,10315.00
1.350,3936.77,-64.92,0.093192,885.00,210.472565,4424.03,0.000251,8790.00
1.400,3919.30,-59.98,0.163737,885.00,800.563904,4936.25,0.000346,10075.00
1.450,3112.94,-62.16,0.224365,65.00,795.336426,4723.62,0.000108,8800.00
1.500,1587.52,-72.20,0.193653,50.00,951.525269,3492.97,0.000009,2325.00
1.550,4397.74,-63.81,0.157344,45.00,789.045410,5394.92,0.000138,11340.00
1.600,5165.92,-61.90,0.124535,40.00,373.030762,5566.22,0.000367,12185.00
