Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,1723.85,-78.73,0.012006,1685.00,0.000000,508.44,0.000002,1750.00
0.050,1721.83,-77.22,0.091199,1685.00,273.066315,496.89,0.000001,1725.00
0.100,1720.28,-77.40,0.157373,1685.00,268.766663,488.49,0.000000,1710.00
0.150,1718.20,-78.80,0.159503,1685.00,150.828476,477.78,0.000000,1690.00
0.200,1573.74,-77.50,0.142576,1685.00,74.309196,507.25,0.000000,1690.00
0.250,1323.34,-76.05,0.138271,1685.00,319.134460,487.60,0.000000,1690.00
0.300,1205.74,-76.30,0.159709,1000.00,344.914062,460.60,0.000000,1685.00
0.350,1125.42,-77.93,0.152229,1000.00,164.505997,442.79,0.000000,1575.00
0.400,1081.17,-77.04,0.127025,1005.00,107.846329,448.17,0.000000,1625.00
0.450,932.21,-75.87,0.128081,1005.00,315.627441,440.50,0.000000,1010.00
0.500,890.90,-76.03,0.154018,750.00,310.623047,461.43,0.000000,1010.00
0.550,900.33,-77.48,0.139360,750.00,166.528732,546.30,0.000000,1005.00
0.600,882.62,-77.08,0.113298,750.00,106.123604,533.19,0.000000,1005.00
0.650,794.31,-76.09,0.121096,750.00,313.451172,451.90,0.000000,870.00
0.700,775.52,-76.25,0.157861,670.00,304.644684,436.73,0.000000,845.00
0.750,800.32,-77.40,0.148617,670.00,149.550812,452.30,0.000000,1000.00
0.800,796.96,-77.60,0.121387,670.00,101.643974,438.85,0.000000,1000.00
0.850,815.38,-77.71,0.092559,670.00,101.445107,455.51,0.000000,1005.00
0.900,825.09,-77.76,0.070295,670.00,82.959641,451.60,0.000000,1005.00
0.950,839.43,-77.90,0.043333,670.00,103.460495,457.22,0.000000,1005.00
1.000,776.11,-77.41,0.028364,675.00,85.816368,451.80,0.000000,1000.00
1.050,652.11,-76.70,0.095051,560.00,276.101929,418.08,0.000000,675.00
1.100,637.73,-76.73,0.158073,565.00,261.348297,406.26,0.000000,670.00
1.150,657.19,-77.56,0.154715,565.00,142.485840,412.54,0.000000,740.00
1.200,665.93,-77.46,0.132356,560.00,87.523537,426.21,0.000000,735.00
1.250,655.80,-76.68,0.132796,560.00,307.477478,392.09,0.000000,675.00
1.300,665.82,-76.80,0.164950,630.00,340.221710,385.13,0.000000,665.00
1.350,686.33,-77.73,0.167903,630.00,182.584091,394.17,0.000000,675.00
1.400,677.41,-77.87,0.160691,630.00,46.250809,377.04,0.000000,660.00
1.450,677.05,-77.88,0.154026,630.00,51.127453,356.73,0.000000,670.00
1.500,673.51,-77.98,0.134049,630.00,71.165215,323.14,0.000000,675.00
1.550,668.91,-78.06,0.100688,630.00,116.411880,298.65,0.000000,675.00
1.600,680.70,-77.93,0.064996,630.00,134.290100,318.87,0.000000,715.00
1.650,702.46,-77.08,0.089260,665.00,245.339966,396.48,0.000000,720.00
1.700,702.86,-77.14,0.141302,670.00,247.840744,410.29,0.000000,700.00
1.750,697.98,-78.09,0.135609,670.00,139.836609,421.65,0.000000,675.00
1.800,693.48,-78.08,0.113318,670.00,86.840981,392.18,0.000000,675.00
1.850,701.74,-78.18,0.086716,670.00,93.856842,405.56,0.000000,690.00
1.900,701.32,-78.25,0.065883,670.00,77.397652,379.99,0.000000,700.00
1.950,693.88,-78.37,0.040984,670.00,98.386429,379.67,0.000000,725.00
2.000,681.72,-78.46,0.028680,675.00,66.983543,345.67,0.000000,740.00
2.050,674.07,-78.49,0.035659,670.00,55.420120,255.61,0.000000,705.00
2.100,672.64,-78.56,0.038530,670.00,39.700645,212.49,0.000000,690.00
2.150,664.28,-78.63,0.036230,630.00,29.712959,200.32,0.000000,690.00
2.200,658.92,-78.66,0.034907,630.00,24.564329,194.82,0.000000,685.00
2.250,656.46,-78.73,0.033671,630.00,26.151741,198.99,0.000000,685.00
2.300,660.14,-78.79,0.029744,630.00,18.882788,217.25,0.000000,690.00
2.350,668.28,-78.88,0.025559,630.00,21.430567,225.03,0.000000,710.00
2.400,665.57,-78.88,0.022234,630.00,21.194675,208.98,0.000000,705.00
2.450,666.59,-78.97,0.019261,630.00,23.698982,210.54,0.000000,705.00
2.500,665.47,-78.96,0.017577,670.00,15.564687,216.27,0.000000,705.00
2.550,668.34,-78.97,0.017149,670.00,11.008903,216.83,0.000000,700.00
2.600,669.03,-79.02,0.017510,670.00,10.870140,224.07,0.000000,690.00
2.650,669.53,-79.05,0.017274,670.00,7.046996,244.06,0.000000,690.00
2.700,663.96,-79.07,0.017207,670.00,9.677758,236.33,0.000000,690.00
2.750,664.57,-79.12,0.014828,670.00,11.467028,242.13,0.000000,685.00
2.800,669.87,-79.13,0.010413,670.00,17.336271,273.40,0.000000,695.00
2.850,679.65,-79.18,0.007742,670.00,12.189221,308.75,0.000000,745.00
2.900,673.94,-79.19,0.008120,670.00,10.835206,301.64,0.000000,745.00
2.950,663.02,-79.23,0.008795,630.00,11.999701,295.50,0.000000,705.00
3.000,661.87,-79.27,0.009554,630.00,7.733265,297.78,0.000000,690.00
3.050,666.76,-79.27,0.010044,630.00,6.665099,295.17,0.000000,695.00
3.100,665.71,-79.29,0.010126,630.00,5.926209,295.65,0.000000,685.00
3.150,664.47,-79.31,0.010388,630.00,4.241642,303.88,0.000000,675.00
3.200,666.07,-79.35,0.010212,630.00,3.901465,302.98,0.000000,680.00
3.250,668.49,-79.36,0.009767,670.00,7.551981,300.85,0.000000,680.00
3.300,666.17,-79.36,0.009160,670.00,6.029411,300.75,0.000000,675.00
3.350,669.16,-79.41,0.007760,670.00,5.682801,323.02,0.000000,675.00
3.400,673.81,-79.44,0.006767,670.00,5.321743,353.38,0.000000,695.00
3.450,675.14,-79.45,0.005969,630.00,3.849051,392.93,0.000000,685.00
3.500,676.30,-79.47,0.004727,630.00,4.944391,438.02,0.000000,685.00
3.550,679.19,-79.49,0.003698,630.00,4.364629,459.57,0.000000,725.00
3.600,691.96,-79.51,0.002756,630.00,4.550323,497.92,0.000000,750.00
3.650,701.19,-79.55,0.002438,665.00,2.972471,560.61,0.000001,745.00
3.700,696.86,-79.55,0.002490,670.00,3.859413,574.24,0.000001,740.00
3.750,690.79,-79.57,0.002667,670.00,3.243907,532.81,0.000000,730.00
3.800,692.65,-79.59,0.003191,670.00,3.437115,544.67,0.000000,690.00
3.850,691.94,-79.61,0.003811,670.00,2.668612,542.88,0.000000,675.00
3.900,687.11,-79.60,0.004173,670.00,2.340865,513.30,0.000000,675.00
3.950,691.58,-79.62,0.004247,670.00,1.034012,552.21,0.000000,675.00
4.000,699.16,-79.61,0.003834,670.00,2.232276,605.74,0.000000,675.00
4.050,707.90,-79.64,0.003148,630.00,3.058666,625.82,0.000000,680.00
4.100,701.13,-79.65,0.002882,630.00,2.000373,600.98,0.000001,690.00
4.150,701.20,-79.69,0.002628,630.00,1.889735,623.71,0.000001,675.00
4.200,708.83,-79.69,0.002216,630.00,1.812719,656.64,0.000001,680.00
4.250,729.32,-79.71,0.001829,630.00,2.170337,730.85,0.000001,730.00
4.300,740.35,-79.73,0.001748,630.00,0.962959,789.68,0.000002,715.00
4.350,740.02,-79.74,0.001819,630.00,1.354373,821.87,0.000002,685.00
4.400,748.13,-79.74,0.001654,630.00,1.347265,840.81,0.000002,690.00
4.450,754.94,-79.75,0.001464,670.00,1.491482,844.60,0.000002,720.00
4.500,782.03,-79.78,0.001506,670.00,1.747991,943.09,0.000003,695.00
4.550,818.55,-79.80,0.001571,670.00,1.172302,1028.24,0.000003,700.00
4.600,805.14,-79.79,0.001383,670.00,1.022097,980.65,0.000003,735.00
4.650,768.28,-79.80,0.001232,670.00,1.553237,883.58,0.000003,700.00
4.700,782.84,-79.81,0.001186,670.00,1.057176,972.71,0.000004,680.00
4.750,816.54,-79.80,0.001094,670.00,0.859607,1068.45,0.000006,705.00
4.800,856.65,-79.82,0.000935,630.00,0.923749,1163.10,0.000009,745.00
4.850,843.21,-79.84,0.000888,630.00,0.902800,1162.98,0.000009,695.00
4.900,835.80,-79.86,0.000909,630.00,0.779710,1173.51,0.000006,700.00
4.950,830.83,-79.85,0.000895,630.00,0.438760,1130.72,0.000005,710.00
5.000,854.80,-79.86,0.000824,630.00,0.662519,1171.53,0.000007,710.00
5.050,869.28,-79.88,0.000804,630.00,0.558802,1220.70,0.000007,685.00
5.100,854.02,-79.86,0.000897,630.00,0.658032,1174.55,0.000007,680.00
5.150,888.50,-79.86,0.000934,670.00,0.360471,1262.59,0.000011,685.00
5.200,934.17,-79.87,0.000880,670.00,0.405571,1379.94,0.000013,690.00
5.250,973.27,-79.89,0.000757,670.00,0.496131,1467.41,0.000018,705.00
5.300,1052.66,-79.90,0.000599,670.00,0.642523,1616.50,0.000027,750.00
5.350,1040.50,-79.90,0.000476,670.00,0.545500,1591.45,0.000029,745.00
5.400,996.57,-79.91,0.000420,670.00,0.453103,1479.69,0.000028,735.00
5.450,1149.35,-79.92,0.000321,670.00,0.506901,1761.21,0.000063,760.00
5.500,1350.25,-79.94,0.000205,665.00,0.476979,2074.92,0.000188,1005.00
5.550,1402.76,-79.95,0.000168,630.00,0.424489,2161.28,0.000223,1025.00
5.600,1247.92,-79.94,0.000248,630.00,0.333942,1969.81,0.000079,795.00
5.650,1189.21,-79.93,0.000307,630.00,0.270525,1853.72,0.000063,755.00
5.700,1256.32,-79.93,0.000320,630.00,0.157138,1952.94,0.000074,780.00
5.750,1227.26,-79.93,0.000354,670.00,0.315298,1912.02,0.000061,755.00
5.800,1218.51,-79.93,0.000396,670.00,0.287447,1889.66,0.000053,755.00
5.850,1243.69,-79.93,0.000391,670.00,0.209083,1932.50,0.000061,755.00
5.900,1284.34,-79.93,0.000352,630.00,0.247071,2004.39,0.000074,765.00
5.950,1277.21,-79.94,0.000322,630.00,0.135166,1982.05,0.000071,760.00
6.000,1316.94,-79.95,0.000286,630.00,0.191645,2019.14,0.000070,990.00
6.050,1386.97,-79.95,0.000267,630.00,0.160837,2118.98,0.000083,1005.00
6.100,1438.04,-79.96,0.000227,630.00,0.211914,2175.58,0.000124,1380.00
6.150,1560.25,-79.96,0.000174,630.00,0.244834,2313.72,0.000208,2570.00
6.200,1631.82,-79.97,0.000127,630.00,0.201588,2414.23,0.000326,3170.00

=== STATISTIKEN ===

Feature,Minimum,Maximum,Durchschnitt
Spektral Centroid (Hz),637.73,1723.85,864.51
Power (dB),-79.97,-75.87,-78.85
Energy,0.00,0.17,0.04
Peak Frequenz (Hz),560.00,1685.00,711.56
Spectral Flux,0.00,344.91,59.41
Bandbreite (Hz),194.82,2414.23,743.60
Spectral Flatness,0.00,0.00,0.00
Spectral Rolloff (Hz),660.00,3170.00,851.28
