Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,2593.38,-52.03,0.000000,1730.00,0.000000,394.36,0.952871,2955.00
0.050,2471.90,-50.02,0.000001,1735.00,0.000453,476.06,0.343781,2935.00
0.100,2576.74,-45.90,0.000004,2920.00,0.003866,467.07,0.018656,2965.00
0.150,2569.91,-43.70,0.000010,2890.00,0.007451,465.98,0.004570,2955.00
0.200,2517.34,-42.97,0.000011,2895.00,0.005293,486.37,0.004015,2925.00
0.250,2480.08,-42.46,0.000011,2990.00,0.007055,504.02,0.005254,2940.00
0.300,2497.60,-42.97,0.000011,2975.00,0.006549,502.90,0.004735,2945.00
0.350,2555.78,-43.13,0.000011,2975.00,0.005680,462.28,0.004587,2955.00
0.400,2605.94,-43.50,0.000010,2870.00,0.006741,414.56,0.004743,2945.00
0.450,2604.95,-43.97,0.000011,2945.00,0.006634,433.19,0.003531,2945.00
0.500,2568.25,-43.66,0.000011,2940.00,0.006152,475.76,0.003622,2945.00
0.550,2552.97,-43.74,0.000011,2910.00,0.006374,471.93,0.003775,2935.00
0.600,2579.41,-43.26,0.000012,2910.00,0.005479,455.63,0.003567,2930.00
0.650,2536.33,-42.58,0.000011,2975.00,0.006638,483.66,0.004610,2935.00
0.700,2506.95,-41.92,0.000012,2975.00,0.005956,500.00,0.004937,2950.00
0.750,2520.79,-42.15,0.000011,2960.00,0.005904,480.86,0.004961,2945.00
0.800,2545.01,-42.03,0.000011,2995.00,0.006426,463.68,0.005280,2960.00
0.850,2492.07,-41.27,0.000011,2955.00,0.006195,496.19,0.006897,2940.00
0.900,2400.15,-39.62,0.000011,2955.00,0.006768,555.81,0.009092,2930.00
0.950,2349.00,-38.97,0.000011,2970.00,0.006685,582.25,0.011555,2935.00
1.000,2360.69,-39.03,0.000010,2970.00,0.006289,561.79,0.013378,2920.00
1.050,2435.88,-39.98,0.000010,2970.00,0.005794,520.85,0.010825,2930.00
1.100,2465.81,-40.99,0.000011,2970.00,0.006037,518.18,0.007000,2945.00
1.150,2427.17,-39.98,0.000010,2885.00,0.006105,533.56,0.010160,2930.00
1.200,2372.79,-38.86,0.000010,2890.00,0.006047,557.69,0.014682,2890.00
1.250,2348.59,-38.79,0.000010,2855.00,0.005632,568.11,0.014086,2885.00
1.300,2406.13,-39.13,0.000010,2905.00,0.006111,552.34,0.012841,2910.00
1.350,2419.57,-39.66,0.000011,2910.00,0.005641,544.87,0.009880,2920.00
1.400,2435.04,-40.86,0.000010,2965.00,0.006006,545.50,0.007850,2940.00
