Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,1216.33,-76.26,0.192111,1000.00,0.000000,1336.56,0.000003,1235.00
0.050,1168.67,-76.35,0.372551,1000.00,1402.502930,1184.05,0.000001,1125.00
0.100,1051.70,-78.72,0.411149,1000.00,875.740295,666.04,0.000000,1005.00
0.150,1004.02,-79.95,0.411356,1000.00,86.216499,226.73,0.000000,1005.00
0.200,1004.05,-79.95,0.411356,1000.00,0.040381,228.09,0.000000,1005.00
0.250,1004.11,-79.95,0.411354,1000.00,0.122282,229.16,0.000000,1005.00
0.300,1003.57,-79.95,0.411346,1000.00,0.136963,213.43,0.000000,1005.00
0.350,1003.33,-79.95,0.411352,1000.00,0.131400,207.00,0.000000,1005.00
0.400,1003.66,-79.95,0.411356,1000.00,0.109670,216.23,0.000000,1005.00
0.450,1004.00,-79.95,0.411356,1000.00,0.061283,225.57,0.000000,1005.00
0.500,1003.96,-79.95,0.411356,1000.00,0.038422,222.83,0.000000,1005.00
0.550,1004.33,-79.95,0.411356,1000.00,0.065939,233.05,0.000000,1005.00
0.600,1004.01,-79.95,0.411349,1000.00,0.157805,225.95,0.000000,1005.00
0.650,1003.73,-79.95,0.411348,1000.00,0.080457,219.15,0.000000,1005.00
0.700,1003.67,-79.95,0.411356,1000.00,0.161678,217.00,0.000000,1005.00
0.750,1003.50,-79.95,0.411355,1000.00,0.065784,214.74,0.000000,1005.00
0.800,1003.50,-79.95,0.411345,1000.00,0.138690,213.19,0.000000,1005.00
0.850,1003.61,-79.95,0.411351,1000.00,0.101654,215.32,0.000000,1005.00
0.900,1003.75,-79.95,0.411346,1000.00,0.075240,220.22,0.000000,1005.00
0.950,1004.05,-79.95,0.411349,1000.00,0.049423,228.56,0.000000,1005.00
1.000,1004.11,-79.95,0.411356,1000.00,0.131659,230.42,0.000000,1005.00
1.050,1004.08,-79.95,0.411356,1000.00,0.030400,229.61,0.000000,1005.00
1.100,1003.98,-79.95,0.411349,1000.00,0.133475,225.81,0.000000,1005.00
1.150,1003.66,-79.95,0.411337,1000.00,0.138392,214.99,0.000000,1005.00
1.200,1003.83,-79.95,0.411347,1000.00,0.131255,223.86,0.000000,1005.00
1.250,1003.89,-79.95,0.411346,1000.00,0.065363,225.27,0.000000,1005.00
1.300,1003.79,-79.95,0.411350,1000.00,0.060091,219.82,0.000000,1005.00
1.350,1004.20,-79.95,0.411356,1000.00,0.128781,230.65,0.000000,1005.00
