Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,69.96,-79.33,0.136130,30.00,0.000000,379.07,0.000000,60.00
0.050,56.64,-79.35,0.265297,30.00,999.929688,322.56,0.000000,45.00
0.100,38.05,-79.74,0.292422,30.00,623.154175,228.84,0.000000,35.00
0.150,33.23,-79.91,0.292486,30.00,50.842453,192.37,0.000000,35.00
0.200,33.34,-79.91,0.292439,30.00,0.530954,198.10,0.000000,35.00
0.250,33.29,-79.91,0.292443,30.00,0.459110,200.67,0.000000,35.00
0.300,33.03,-79.91,0.292457,30.00,0.261830,193.31,0.000000,35.00
0.350,33.14,-79.91,0.292441,30.00,0.314171,195.68,0.000000,35.00
0.400,33.24,-79.91,0.292442,30.00,0.145645,197.07,0.000000,35.00
0.450,33.17,-79.91,0.292471,30.00,0.352307,193.27,0.000000,35.00
0.500,33.02,-79.91,0.292448,30.00,0.261082,186.62,0.000000,35.00
0.550,32.99,-79.91,0.292437,30.00,0.224719,188.61,0.000000,35.00
0.600,33.18,-79.91,0.292469,30.00,0.390161,194.70,0.000000,35.00
0.650,33.29,-79.92,0.292451,30.00,0.265421,194.66,0.000000,35.00
0.700,33.38,-79.92,0.292445,30.00,0.220698,198.43,0.000000,35.00
0.750,33.30,-79.92,0.292451,30.00,0.324062,196.16,0.000000,35.00
0.800,33.22,-79.92,0.292427,30.00,0.454648,196.05,0.000000,35.00
0.850,33.23,-79.92,0.292451,30.00,0.459025,195.99,0.000000,35.00
0.900,33.69,-79.92,0.292500,30.00,0.438516,206.54,0.000000,35.00
0.950,33.52,-79.92,0.292574,30.00,0.535494,200.78,0.000000,35.00
1.000,33.12,-79.92,0.292649,30.00,0.654803,189.69,0.000000,35.00
1.050,33.30,-79.92,0.292622,30.00,0.362518,195.12,0.000000,35.00
1.100,33.44,-79.92,0.292536,30.00,0.671970,200.69,0.000000,35.00
1.150,33.27,-79.92,0.292474,30.00,0.485677,194.65,0.000000,35.00
1.200,33.22,-79.92,0.292428,30.00,0.413695,193.74,0.000000,35.00
1.250,33.44,-79.92,0.292449,30.00,0.327622,201.99,0.000000,35.00
1.300,33.51,-79.92,0.292506,30.00,0.452541,204.09,0.000000,35.00
1.350,33.51,-79.92,0.292576,30.00,0.528273,203.13,0.000000,35.00
1.400,33.28,-79.91,0.292619,30.00,0.522600,196.83,0.000000,35.00
1.450,33.22,-79.91,0.292562,30.00,0.569644,192.09,0.000000,35.00
1.500,33.34,-79.91,0.292495,30.00,0.472673,193.94,0.000000,35.00
1.550,33.37,-79.91,0.292446,30.00,0.423887,197.19,0.000000,35.00
1.600,33.27,-79.91,0.292418,30.00,0.316282,193.28,0.000000,35.00
1.650,33.29,-79.91,0.292459,30.00,0.513208,194.34,0.000000,35.00
1.700,33.47,-79.91,0.292508,30.00,0.445367,199.58,0.000000,35.00
1.750,33.28,-79.91,0.292540,30.00,0.424779,195.13,0.000000,35.00
1.800,33.46,-79.91,0.292475,30.00,0.550402,199.86,0.000000,35.00
1.850,33.63,-79.91,0.292396,30.00,0.622960,203.28,0.000000,35.00
1.900,33.35,-79.91,0.292400,30.00,0.240122,198.11,0.000000,35.00
1.950,33.23,-79.91,0.292466,30.00,0.494432,194.24,0.000000,35.00
2.000,33.44,-79.91,0.292519,30.00,0.426942,200.60,0.000000,35.00
2.050,33.30,-79.91,0.292492,30.00,0.290860,197.98,0.000000,35.00
2.100,33.40,-79.91,0.292422,30.00,0.546282,199.43,0.000000,35.00
2.150,33.41,-79.91,0.292397,30.00,0.293971,197.36,0.000000,35.00
2.200,33.21,-79.91,0.292464,30.00,0.522206,192.34,0.000000,35.00
2.250,33.09,-79.91,0.292553,30.00,0.646967,189.44,0.000000,35.00
2.300,33.03,-79.91,0.292575,30.00,0.181575,188.42,0.000000,35.00
2.350,33.15,-79.91,0.292518,30.00,0.442748,191.40,0.000000,35.00
2.400,33.15,-79.91,0.292466,30.00,0.444496,191.00,0.000000,35.00
2.450,33.06,-79.91,0.292429,30.00,0.392259,189.57,0.000000,35.00
2.500,33.07,-79.91,0.292452,30.00,0.359786,185.64,0.000000,35.00
2.550,33.04,-79.91,0.292501,30.00,0.514385,187.35,0.000000,35.00
2.600,33.15,-79.91,0.292579,30.00,0.594190,190.78,0.000000,35.00
2.650,33.18,-79.91,0.292599,30.00,0.298896,189.85,0.000000,35.00
2.700,33.14,-79.91,0.292522,30.00,0.703822,190.23,0.000000,35.00
2.750,33.41,-79.91,0.292468,30.00,0.422245,198.79,0.000000,35.00
2.800,33.66,-79.91,0.292433,30.00,0.578446,207.08,0.000000,35.00
2.850,33.50,-79.91,0.292443,30.00,0.302938,200.94,0.000000,35.00
2.900,33.26,-79.91,0.292470,30.00,0.333637,193.46,0.000000,35.00
2.950,33.10,-79.91,0.292480,30.00,0.275759,191.41,0.000000,35.00
3.000,33.23,-79.91,0.292475,30.00,0.243095,195.83,0.000000,35.00
3.050,33.38,-79.91,0.292463,30.00,0.220653,198.24,0.000000,35.00
