Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,699.01,-77.06,0.045762,500.00,0.000000,1185.96,0.000003,670.00
0.050,653.16,-77.05,0.092041,500.00,326.250183,1044.27,0.000001,590.00
0.100,551.09,-78.85,0.102750,500.00,207.112686,617.35,0.000000,505.00
0.150,508.77,-79.95,0.102822,500.00,24.125954,305.23,0.000000,505.00
0.200,507.35,-79.95,0.102825,500.00,0.045617,279.31,0.000000,505.00
0.250,507.41,-79.95,0.102830,500.00,0.054637,280.50,0.000000,505.00
0.300,507.62,-79.95,0.102831,500.00,0.037509,282.80,0.000000,505.00
0.350,508.25,-79.95,0.102829,500.00,0.039058,294.04,0.000000,505.00
0.400,508.11,-79.95,0.102829,500.00,0.038597,292.23,0.000000,505.00
0.450,508.25,-79.95,0.102828,500.00,0.042844,296.68,0.000000,505.00
0.500,508.53,-79.95,0.102828,500.00,0.036318,302.10,0.000000,505.00
0.550,508.85,-79.95,0.102829,500.00,0.034296,306.78,0.000000,505.00
0.600,508.78,-79.95,0.102830,500.00,0.040910,306.12,0.000000,505.00
0.650,508.54,-79.95,0.102832,500.00,0.037340,303.73,0.000000,505.00
0.700,507.86,-79.95,0.102831,500.00,0.041672,290.23,0.000000,505.00
0.750,508.39,-79.95,0.102826,500.00,0.045621,298.83,0.000000,505.00
0.800,508.75,-79.95,0.102822,500.00,0.048520,304.21,0.000000,505.00
0.850,507.98,-79.95,0.102824,500.00,0.043369,292.49,0.000000,505.00
0.900,507.75,-79.95,0.102827,500.00,0.044384,287.83,0.000000,505.00
0.950,508.92,-79.95,0.102829,500.00,0.042562,308.21,0.000000,505.00
1.000,509.19,-79.95,0.102829,500.00,0.043996,314.16,0.000000,505.00
1.050,508.96,-79.95,0.102827,500.00,0.045767,312.14,0.000000,505.00
1.100,508.81,-79.95,0.102827,500.00,0.038894,308.80,0.000000,505.00
1.150,508.42,-79.95,0.102827,500.00,0.032589,300.87,0.000000,505.00
1.200,508.92,-79.95,0.102827,500.00,0.038217,311.35,0.000000,505.00
1.250,507.85,-79.95,0.102827,500.00,0.040632,289.16,0.000000,505.00
1.300,507.67,-79.95,0.102830,500.00,0.044081,282.83,0.000000,505.00
1.350,507.99,-79.95,0.102830,500.00,0.040859,289.19,0.000000,505.00
1.400,509.11,-79.95,0.102827,500.00,0.047392,309.24,0.000000,505.00
