Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,848.28,-79.68,0.001495,140.00,0.000000,1551.91,0.000009,1515.00
0.050,965.54,-79.16,0.006807,140.00,33.933853,1676.83,0.000004,1695.00
0.100,1101.21,-78.82,0.011376,140.00,32.397224,1822.78,0.000003,1945.00
0.150,1295.83,-78.74,0.011706,135.00,28.692154,1964.64,0.000003,2215.00
0.200,1471.11,-78.79,0.011366,555.00,24.115316,2084.82,0.000003,2500.00
0.250,1429.39,-78.68,0.013874,275.00,34.564053,2027.85,0.000003,2325.00
0.300,1330.48,-78.56,0.019593,275.00,51.921806,1912.74,0.000001,2215.00
0.350,1196.12,-78.66,0.025206,275.00,45.798504,1747.89,0.000001,2135.00
0.400,1139.68,-78.72,0.029974,275.00,39.528576,1695.45,0.000000,2155.00
0.450,1132.31,-78.70,0.034747,280.00,44.205563,1693.07,0.000000,2210.00
0.500,1202.57,-78.44,0.038900,280.00,37.513042,1670.10,0.000000,2215.00
0.550,1134.34,-78.42,0.040675,275.00,53.359753,1634.65,0.000000,1950.00
0.600,1235.34,-78.24,0.040708,275.00,52.963909,1779.56,0.000000,2210.00
0.650,1237.56,-78.19,0.045047,275.00,70.090240,1807.83,0.000000,2220.00
0.700,1254.32,-77.98,0.054419,280.00,84.990128,1860.99,0.000000,2230.00
0.750,1245.00,-77.77,0.060632,280.00,70.042694,1775.22,0.000000,2215.00
0.800,1332.17,-77.49,0.058991,275.00,73.223618,1840.35,0.000000,2235.00
0.850,1434.11,-77.66,0.055355,275.00,63.570316,1925.04,0.000000,2505.00
0.900,1299.51,-77.64,0.062047,280.00,92.948967,1874.17,0.000000,2215.00
0.950,1248.42,-77.49,0.058865,275.00,72.334000,1798.12,0.000000,1960.00
1.000,1247.30,-77.66,0.036238,280.00,158.749008,1817.61,0.000001,2170.00
1.050,1227.72,-77.86,0.028621,280.00,90.709732,1812.47,0.000002,2210.00
1.100,1205.31,-77.76,0.033634,275.00,73.041161,1778.12,0.000001,2215.00
1.150,1269.25,-77.64,0.036743,275.00,49.749111,1819.15,0.000001,2220.00
1.200,1277.06,-77.71,0.038133,275.00,54.450150,1812.27,0.000001,2220.00
1.250,1195.30,-77.74,0.039529,275.00,43.309998,1713.61,0.000001,2220.00
1.300,1125.75,-77.75,0.039581,275.00,63.369610,1667.55,0.000001,2210.00
1.350,1110.95,-77.74,0.041339,275.00,37.352013,1638.28,0.000001,2125.00
1.400,1095.90,-77.36,0.042253,275.00,40.786613,1657.48,0.000001,2210.00
1.450,1096.40,-76.89,0.039682,555.00,114.011810,1739.35,0.000002,2155.00
1.500,1239.18,-76.51,0.048714,140.00,173.444260,1813.16,0.000001,2210.00
1.550,1156.43,-76.71,0.061108,140.00,155.263016,1734.66,0.000001,2165.00
1.600,1125.29,-76.56,0.071071,140.00,93.399948,1712.12,0.000001,1955.00
1.650,1122.70,-76.32,0.074318,140.00,134.232635,1729.00,0.000001,1975.00
1.700,1225.18,-76.25,0.066034,140.00,139.389847,1863.19,0.000001,2215.00
1.750,1253.71,-76.48,0.068174,140.00,138.483551,1821.58,0.000001,2205.00
1.800,1189.71,-76.55,0.082295,140.00,152.766907,1745.80,0.000001,2200.00
1.850,1183.79,-76.30,0.085694,140.00,126.522827,1746.31,0.000001,2205.00
1.900,1237.48,-75.82,0.071641,140.00,167.118286,1861.57,0.000001,2220.00
1.950,1330.33,-75.36,0.064021,555.00,242.005615,1860.25,0.000002,2210.00
2.000,1262.24,-75.81,0.062830,550.00,173.764450,1796.24,0.000001,2200.00
2.050,1323.95,-76.26,0.062927,555.00,142.424759,1807.08,0.000001,2215.00
2.100,1401.89,-76.69,0.053453,555.00,166.622070,1952.80,0.000001,2235.00
2.150,1636.48,-76.36,0.047768,555.00,146.579834,2131.69,0.000002,2755.00
2.200,1580.66,-76.51,0.051888,550.00,137.342392,1991.17,0.000001,2235.00
2.250,1582.35,-76.61,0.052514,555.00,92.670227,1965.78,0.000002,2235.00
2.300,1576.18,-77.06,0.044513,555.00,144.386444,2048.73,0.000002,2240.00
2.350,1774.17,-76.52,0.034902,555.00,97.011818,2245.24,0.000004,2795.00
2.400,1563.23,-76.48,0.041824,550.00,119.860588,1988.25,0.000002,2220.00
2.450,1594.84,-76.74,0.039713,550.00,81.061028,1989.82,0.000002,2235.00
2.500,1514.50,-76.95,0.033818,555.00,106.749962,1950.56,0.000002,2235.00
2.550,1529.07,-76.89,0.030470,235.00,63.598400,2023.29,0.000002,2245.00
2.600,1368.26,-77.13,0.038277,550.00,91.692268,1777.30,0.000001,2210.00
2.650,1377.83,-76.88,0.038520,1105.00,47.834343,1744.04,0.000001,2215.00
2.700,1361.84,-76.51,0.031917,235.00,88.138786,1711.93,0.000002,2220.00
2.750,1399.22,-76.74,0.028893,235.00,69.955536,1800.25,0.000002,2220.00
2.800,1388.34,-77.01,0.032110,235.00,77.543533,1673.70,0.000001,2205.00
