Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,9658.82,-27.81,0.141751,10350.00,0.000000,5320.32,0.065055,16055.00
0.050,9476.16,-22.77,0.277604,9140.00,967.945435,5362.16,0.059685,16010.00
0.100,9478.63,-23.02,0.305137,4005.00,884.048706,5426.99,0.044838,16050.00
0.150,9641.06,-23.81,0.305904,17900.00,973.775269,5446.91,0.027905,16135.00
0.200,9599.21,-23.81,0.301727,7740.00,950.841919,5415.00,0.028562,16050.00
0.250,9480.34,-23.75,0.300757,12865.00,951.119080,5374.87,0.029578,15960.00
0.300,9614.20,-23.75,0.301387,8665.00,939.440430,5367.88,0.029541,16055.00
0.350,9625.27,-23.81,0.300151,14415.00,939.418152,5373.61,0.029332,16015.00
0.400,9596.10,-23.78,0.302909,8805.00,934.290100,5368.77,0.028793,15995.00
0.450,9590.00,-23.88,0.301297,17755.00,954.414001,5371.33,0.028303,16010.00
0.500,9607.08,-23.78,0.305779,15330.00,975.001465,5383.11,0.027802,16000.00
0.550,9539.22,-23.76,0.305684,15225.00,948.153809,5389.49,0.028180,16045.00
0.600,9538.45,-23.91,0.304329,11155.00,954.803589,5408.92,0.027514,16040.00
0.650,9632.37,-23.69,0.308164,14080.00,967.855164,5403.03,0.028336,16100.00
0.700,9571.68,-23.77,0.305537,10315.00,977.022827,5361.74,0.028187,15975.00
0.750,9476.02,-23.72,0.306858,13955.00,965.717102,5351.58,0.028075,15930.00
0.800,9444.30,-23.72,0.308905,13950.00,959.517700,5335.71,0.027572,15855.00
0.850,9484.75,-23.80,0.307485,2225.00,967.088623,5336.98,0.027618,15855.00
0.900,9637.76,-23.83,0.306766,17785.00,955.548889,5375.01,0.027153,15985.00
0.950,9544.22,-23.87,0.305349,15810.00,954.467102,5414.52,0.027991,15970.00
1.000,9543.86,-23.66,0.309454,4790.00,979.326965,5447.36,0.029394,16080.00
1.050,9582.68,-23.73,0.307221,10575.00,935.273071,5435.80,0.029052,16105.00
1.100,9559.62,-23.71,0.305245,14860.00,983.508362,5399.75,0.028860,16015.00
1.150,9615.14,-23.66,0.304157,14855.00,954.886169,5375.72,0.029217,16115.00
1.200,9424.67,-23.99,0.301294,10555.00,982.953552,5335.67,0.027334,15895.00
1.250,9437.39,-23.68,0.306969,17340.00,963.286438,5343.67,0.029301,15945.00
1.300,9544.37,-23.51,0.309289,15185.00,965.927979,5390.48,0.030272,15990.00
1.350,9517.97,-23.65,0.308135,6905.00,971.803467,5408.53,0.029293,15980.00
1.400,9507.72,-23.87,0.299972,18310.00,957.226013,5385.18,0.029226,15975.00
1.450,9583.23,-23.75,0.303440,18310.00,948.603271,5371.24,0.028968,16000.00
1.500,9501.82,-23.77,0.307820,15115.00,946.069580,5380.62,0.027705,15920.00
