Zeit (s),Spektral Centroid (Hz),Power (dB),Energy,Peak Frequenz (Hz),Spectral Flux,Bandbreite (Hz),Spectral Flatness,Spectral Rolloff (Hz)
0.000,1154.79,-73.91,0.070110,0.00,0.000000,2131.64,0.000567,2590.00
0.050,972.02,-70.22,0.225988,0.00,661.239441,1998.46,0.000148,2145.00
0.100,796.45,-72.87,0.300307,0.00,532.007019,1827.45,0.000024,1800.00
0.150,820.15,-74.71,0.305543,0.00,160.373367,1819.10,0.000005,2215.00
0.200,830.75,-74.62,0.305483,0.00,9.226365,1821.62,0.000005,2350.00
0.250,819.84,-74.52,0.305061,0.00,11.361031,1804.13,0.000005,2305.00
0.300,798.88,-74.64,0.304235,0.00,10.178592,1789.08,0.000005,2225.00
0.350,797.39,-74.68,0.303930,0.00,10.876792,1784.03,0.000005,2210.00
0.400,797.99,-74.73,0.304535,0.00,10.041054,1786.58,0.000005,2185.00
0.450,800.85,-74.72,0.304978,0.00,9.146933,1792.05,0.000005,2160.00
0.500,830.14,-74.48,0.305581,0.00,9.463727,1827.24,0.000006,2295.00
0.550,814.77,-74.67,0.305628,0.00,8.678641,1817.56,0.000005,2220.00
0.600,819.71,-74.59,0.305176,0.00,8.999366,1819.10,0.000005,2260.00
0.650,817.63,-74.63,0.304776,0.00,9.312139,1814.84,0.000005,2250.00
0.700,795.20,-74.71,0.305036,0.00,9.249959,1792.09,0.000005,2125.00
0.750,788.95,-74.71,0.304640,0.00,9.213877,1787.03,0.000005,2075.00
0.800,798.43,-74.73,0.304584,0.00,8.946445,1791.24,0.000005,2155.00
0.850,802.08,-74.69,0.304710,0.00,8.970695,1792.41,0.000005,2205.00
0.900,795.73,-74.78,0.304832,0.00,9.286233,1785.38,0.000005,2170.00
0.950,791.54,-74.77,0.305148,0.00,8.885443,1785.12,0.000005,2155.00
1.000,796.29,-74.70,0.304955,0.00,8.907356,1791.71,0.000005,2160.00
1.050,804.49,-74.67,0.305236,0.00,9.122476,1804.32,0.000005,2205.00
1.100,811.23,-74.64,0.305038,0.00,9.159986,1819.58,0.000005,2155.00
1.150,810.60,-74.67,0.304774,0.00,9.125837,1812.96,0.000005,2240.00
1.200,796.90,-74.71,0.304601,0.00,9.038226,1791.48,0.000005,2215.00
1.250,802.90,-74.70,0.304922,0.00,9.172786,1793.95,0.000005,2180.00
