change_ms,change_s,from,to,segment_index,block_ms,source_pos_ms
200,0.2,A,B,1,15,200
215,0.215,B,A,2,15,200
230,0.23,A,A,3,36,215
266,0.266,A,B,4,36,215
302,0.302,B,A,5,41,251
343,0.343,A,B,6,41,251
384,0.384,B,A,7,33,292
417,0.417,A,B,8,33,292
450,0.45,B,A,9,48,325
498,0.498,A,B,10,48,325
546,0.546,B,A,11,21,373
567,0.567,A,B,12,21,373
588,0.588,B,A,13,11,394
599,0.599,A,B,14,11,394
610,0.61,B,A,15,34,405
644,0.644,A,B,16,34,405
678,0.678,B,A,17,37,439
715,0.715,A,B,18,37,439
752,0.752,B,A,19,36,476
788,0.788,A,B,20,36,476
824,0.824,B,A,21,31,512
855,0.855,A,B,22,31,512
886,0.886,B,A,23,27,543
913,0.913,A,B,24,27,543
940,0.94,B,A,25,22,570
962,0.962,A,B,26,22,570
984,0.984,B,A,27,50,592
1034,1.034,A,B,28,50,592
1084,1.084,B,A,29,12,642
1096,1.096,A,B,30,12,642
1108,1.108,B,A,31,18,654
1126,1.126,A,B,32,18,654
1144,1.144,B,A,33,33,672
1177,1.177,A,B,34,33,672
1210,1.21,B,A,35,48,705
1258,1.258,A,B,36,48,705
1306,1.306,B,A,37,21,753
1327,1.327,A,B,38,21,753
1348,1.348,B,A,39,41,774
1389,1.389,A,B,40,41,774
1430,1.43,B,A,41,26,815
1456,1.456,A,B,42,26,815
1482,1.482,B,A,43,17,841
1499,1.499,A,B,44,17,841
1516,1.516,B,A,45,34,858
1550,1.55,A,B,46,34,858
1584,1.584,B,A,47,21,892
1605,1.605,A,B,48,21,892
1626,1.626,B,A,49,12,913
1638,1.638,A,B,50,12,913
1650,1.65,B,A,51,15,925
1665,1.665,A,B,52,15,925
1680,1.68,B,A,53,27,940
1707,1.707,A,B,54,27,940
1734,1.734,B,A,55,46,967
1780,1.78,A,B,56,46,967
1826,1.826,B,A,57,22,1013
1848,1.848,A,B,58,22,1013
1870,1.87,B,A,59,38,1035
1908,1.908,A,B,60,38,1035
1946,1.946,B,A,61,24,1073
1970,1.97,A,B,62,24,1073
1994,1.994,B,A,63,34,1097
2028,2.028,A,B,64,34,1097
2062,2.062,B,A,65,37,1131
2099,2.099,A,B,66,37,1131
2136,2.136,B,A,67,11,1168
2147,2.147,A,B,68,11,1168
2158,2.158,B,A,69,43,1179
2201,2.201,A,B,70,43,1179
2244,2.244,B,A,71,22,1222
2266,2.266,A,B,72,22,1222
2288,2.288,B,A,73,35,1244
2323,2.323,A,B,74,35,1244
2358,2.358,B,A,75,38,1279
2396,2.396,A,B,76,38,1279
2434,2.434,B,A,77,35,1317
2469,2.469,A,B,78,35,1317
2504,2.504,B,A,79,19,1352
2523,2.523,A,B,80,19,1352
2542,2.542,B,A,81,38,1371
2580,2.58,A,B,82,38,1371
2618,2.618,B,A,83,18,1409
2636,2.636,A,B,84,18,1409
2654,2.654,B,A,85,26,1427
2680,2.68,A,B,86,26,1427
2706,2.706,B,A,87,24,1453
2730,2.73,A,B,88,24,1453
2754,2.754,B,A,89,28,1477
2782,2.782,A,B,90,28,1477
2810,2.81,B,A,91,17,1505
2827,2.827,A,B,92,17,1505
2844,2.844,B,A,93,30,1522
2874,2.874,A,B,94,30,1522
2904,2.904,B,A,95,11,1552
2915,2.915,A,B,96,11,1552
2926,2.926,B,A,97,12,1563
2938,2.938,A,B,98,12,1563
2950,2.95,B,A,99,32,1575
2982,2.982,A,B,100,32,1575
3014,3.014,B,A,101,48,1607
3062,3.062,A,B,102,48,1607
3110,3.11,B,A,103,50,1655
3160,3.16,A,B,104,50,1655
3210,3.21,B,A,105,32,1705
3242,3.242,A,B,106,32,1705
3274,3.274,B,A,107,49,1737
3323,3.323,A,B,108,49,1737
3372,3.372,B,A,109,34,1786
3406,3.406,A,B,110,34,1786
3440,3.44,B,A,111,32,1820
3472,3.472,A,B,112,32,1820
3504,3.504,B,A,113,40,1852
3544,3.544,A,B,114,40,1852
3584,3.584,B,A,115,13,1892
3597,3.597,A,B,116,13,1892
3610,3.61,B,A,117,27,1905
3637,3.637,A,B,118,27,1905
3664,3.664,B,A,119,50,1932
3714,3.714,A,B,120,50,1932
3764,3.764,B,A,121,10,1982
3774,3.774,A,B,122,10,1982
3784,3.784,B,A,123,22,1992
3806,3.806,A,B,124,22,1992
3828,3.828,B,A,125,47,2014
3875,3.875,A,B,126,47,2014
3922,3.922,B,A,127,20,2061
3942,3.942,A,B,128,20,2061
3962,3.962,B,A,129,45,2081
4007,4.007,A,B,130,45,2081
4052,4.052,B,A,131,30,2126
4082,4.082,A,B,132,30,2126
4112,4.112,B,A,133,25,2156
4137,4.137,A,B,134,25,2156
4162,4.162,B,A,135,29,2181
4191,4.191,A,B,136,29,2181
4220,4.22,B,A,137,34,2210
4254,4.254,A,B,138,34,2210
4288,4.288,B,A,139,12,2244
4300,4.3,A,B,140,12,2244
4312,4.312,B,A,141,37,2256
4349,4.349,A,B,142,37,2256
4386,4.386,B,A,143,25,2293
4411,4.411,A,B,144,25,2293
4436,4.436,B,A,145,45,2318
4481,4.481,A,B,146,45,2318
4526,4.526,B,A,147,28,2363
4554,4.554,A,B,148,28,2363
4582,4.582,B,A,149,44,2391
4626,4.626,A,B,150,44,2391
4670,4.67,B,A,151,10,2435
4680,4.68,A,B,152,10,2435
4690,4.69,B,A,153,33,2445
4723,4.723,A,B,154,33,2445
4756,4.756,B,A,155,13,2478
4769,4.769,A,B,156,13,2478
4782,4.782,B,A,157,29,2491
4811,4.811,A,B,158,29,2491
4840,4.84,B,A,159,40,2520
4880,4.88,A,B,160,40,2520
4920,4.92,B,A,161,34,2560
4954,4.954,A,B,162,34,2560
