change_ms,change_s,from,to,segment_index,block_ms,source_pos_ms
18,0.018,A,B,1,18,0
36,0.036,B,A,2,43,18
79,0.079,A,B,3,43,18
122,0.122,B,A,4,22,61
144,0.144,A,B,5,22,61
166,0.166,B,A,6,50,83
216,0.216,A,B,7,50,83
266,0.266,B,A,8,12,133
278,0.278,A,B,9,12,133
290,0.29,B,A,10,12,145
302,0.302,A,B,11,12,145
314,0.314,B,A,12,44,157
358,0.358,A,B,13,44,157
402,0.402,B,A,14,19,201
421,0.421,A,B,15,19,201
440,0.44,B,A,16,41,220
481,0.481,A,B,17,41,220
522,0.522,B,A,18,32,261
554,0.554,A,B,19,32,261
586,0.586,B,A,20,30,293
616,0.616,A,B,21,30,293
646,0.646,B,A,22,21,323
667,0.667,A,B,23,21,323
688,0.688,B,A,24,32,344
720,0.72,A,B,25,32,344
752,0.752,B,A,26,26,376
778,0.778,A,B,27,26,376
804,0.804,B,A,28,19,402
823,0.823,A,B,29,19,402
842,0.842,B,A,30,34,421
876,0.876,A,B,31,34,421
910,0.91,B,A,32,16,455
926,0.926,A,B,33,16,455
942,0.942,B,A,34,28,471
970,0.97,A,B,35,28,471
998,0.998,B,A,36,23,499
1021,1.021,A,B,37,23,499
1044,1.044,B,A,38,45,522
1089,1.089,A,B,39,45,522
1134,1.134,B,A,40,33,567
1167,1.167,A,B,41,33,567
1200,1.2,B,A,42,37,600
1237,1.237,A,B,43,37,600
1274,1.274,B,A,44,22,637
1296,1.296,A,B,45,22,637
1318,1.318,B,A,46,37,659
1355,1.355,A,B,47,37,659
1392,1.392,B,A,48,44,696
1436,1.436,A,B,49,44,696
1480,1.48,B,A,50,22,740
1502,1.502,A,B,51,22,740
1524,1.524,B,A,52,14,762
1538,1.538,A,B,53,14,762
1552,1.552,B,A,54,14,776
1566,1.566,A,B,55,14,776
1580,1.58,B,A,56,38,790
1618,1.618,A,B,57,38,790
1656,1.656,B,A,58,35,828
1691,1.691,A,B,59,35,828
1726,1.726,B,A,60,43,863
1769,1.769,A,B,61,43,863
1812,1.812,B,A,62,16,906
1828,1.828,A,B,63,16,906
1844,1.844,B,A,64,42,922
1886,1.886,A,B,65,42,922
1928,1.928,B,A,66,22,964
