change_ms,change_s,from,to,segment_index,block_ms,source_pos_ms
43,0.043,A,B,1,43,0
86,0.086,B,A,2,11,42.64
97,0.097,A,B,3,11,42.64
108,0.108,B,A,4,48,53.3
156,0.156,A,B,5,48,53.3
204,0.204,B,A,6,5,101.27
209,0.209,A,B,7,5,101.27
214,0.214,B,A,8,5,106.6
219,0.219,A,B,9,5,106.6
224,0.224,B,A,10,48,111.92999999999999
272,0.272,A,B,11,48,111.92999999999999
320,0.32,B,A,12,32,159.89999999999998
352,0.352,A,B,13,32,159.89999999999998
384,0.384,B,A,14,43,191.87999999999997
427,0.427,A,B,15,43,191.87999999999997
470,0.47,B,A,16,5,234.51999999999998
475,0.475,A,B,17,5,234.51999999999998
480,0.48,B,A,18,27,239.85
507,0.507,A,B,19,27,239.85
534,0.534,B,A,20,5,266.5
539,0.539,A,B,21,5,266.5
544,0.544,B,A,22,16,271.83
560,0.56,A,B,23,16,271.83
576,0.576,B,A,24,21,287.82
597,0.597,A,B,25,21,287.82
618,0.618,B,A,26,16,309.14
634,0.634,A,B,27,16,309.14
650,0.65,B,A,28,27,325.13
677,0.677,A,B,29,27,325.13
704,0.704,B,A,30,27,351.78
731,0.731,A,B,31,27,351.78
758,0.758,B,A,32,5,378.42999999999995
763,0.763,A,B,33,5,378.42999999999995
768,0.768,B,A,34,48,383.75999999999993
816,0.816,A,B,35,48,383.75999999999993
864,0.864,B,A,36,27,431.7299999999999
891,0.891,A,B,37,27,431.7299999999999
918,0.918,B,A,38,43,458.3799999999999
961,0.961,A,B,39,43,458.3799999999999
1004,1.004,B,A,40,5,501.01999999999987
1009,1.009,A,B,41,5,501.01999999999987
1014,1.014,B,A,42,48,506.34999999999985
1062,1.062,A,B,43,48,506.34999999999985
1110,1.11,B,A,44,27,554.3199999999998
1137,1.137,A,B,45,27,554.3199999999998
1164,1.164,B,A,46,16,580.9699999999998
1180,1.18,A,B,47,16,580.9699999999998
1196,1.196,B,A,48,32,596.9599999999998
1228,1.228,A,B,49,32,596.9599999999998
1260,1.26,B,A,50,27,628.9399999999998
1287,1.287,A,B,51,27,628.9399999999998
1314,1.314,B,A,52,11,655.5899999999998
1325,1.325,A,B,53,11,655.5899999999998
1336,1.336,B,A,54,16,666.2499999999998
1352,1.352,A,B,55,16,666.2499999999998
1368,1.368,B,A,56,32,682.2399999999998
1400,1.4,A,B,57,32,682.2399999999998
1432,1.432,B,A,58,5,714.2199999999998
1437,1.437,A,B,59,5,714.2199999999998
1442,1.442,B,A,60,27,719.5499999999998
1469,1.469,A,B,61,27,719.5499999999998
1496,1.496,B,A,62,43,746.1999999999998
1539,1.539,A,B,63,43,746.1999999999998
1582,1.582,B,A,64,43,788.8399999999998
1625,1.625,A,B,65,43,788.8399999999998
1668,1.668,B,A,66,16,831.4799999999998
1684,1.684,A,B,67,16,831.4799999999998
1700,1.7,B,A,68,21,847.4699999999998
1721,1.721,A,B,69,21,847.4699999999998
1742,1.742,B,A,70,21,868.7899999999998
1763,1.763,A,B,71,21,868.7899999999998
1784,1.784,B,A,72,43,890.1099999999999
1827,1.827,A,B,73,43,890.1099999999999
1870,1.87,B,A,74,16,932.7499999999999
1886,1.886,A,B,75,16,932.7499999999999
1902,1.902,B,A,76,27,948.7399999999999
1929,1.929,A,B,77,27,948.7399999999999
1956,1.956,B,A,78,43,975.3899999999999
1999,1.999,A,B,79,43,975.3899999999999
2042,2.042,B,A,80,21,1018.0299999999999
2063,2.063,A,B,81,21,1018.0299999999999
2084,2.084,B,A,82,43,1039.35
2127,2.127,A,B,83,43,1039.35
2170,2.17,B,A,84,21,1081.99
2191,2.191,A,B,85,21,1081.99
2212,2.212,B,A,86,48,1103.31
2260,2.26,A,B,87,48,1103.31
2308,2.308,B,A,88,16,1151.28
2324,2.324,A,B,89,16,1151.28
2340,2.34,B,A,90,32,1167.27
2372,2.372,A,B,91,32,1167.27
2404,2.404,B,A,92,27,1199.25
2431,2.431,A,B,93,27,1199.25
2458,2.458,B,A,94,32,1225.9
2490,2.49,A,B,95,32,1225.9
2522,2.522,B,A,96,37,1257.88
2559,2.559,A,B,97,37,1257.88
2596,2.596,B,A,98,37,1295.19
2633,2.633,A,B,99,37,1295.19
2670,2.67,B,A,100,21,1332.5
2691,2.691,A,B,101,21,1332.5
2712,2.712,B,A,102,43,1353.82
2755,2.755,A,B,103,43,1353.82
2798,2.798,B,A,104,37,1396.46
2835,2.835,A,B,105,37,1396.46
2872,2.872,B,A,106,48,1433.77
2920,2.92,A,B,107,48,1433.77
2968,2.968,B,A,108,21,1481.74
2989,2.989,A,B,109,21,1481.74
3010,3.01,B,A,110,5,1503.06
3015,3.015,A,B,111,5,1503.06
3020,3.02,B,A,112,11,1508.3899999999999
3031,3.031,A,B,113,11,1508.3899999999999
3042,3.042,B,A,114,16,1519.05
3058,3.058,A,B,115,16,1519.05
3074,3.074,B,A,116,27,1535.04
3101,3.101,A,B,117,27,1535.04
3128,3.128,B,A,118,32,1561.69
3160,3.16,A,B,119,32,1561.69
3192,3.192,B,A,120,37,1593.67
3229,3.229,A,B,121,37,1593.67
3266,3.266,B,A,122,5,1630.98
3271,3.271,A,B,123,5,1630.98
3276,3.276,B,A,124,27,1636.31
3303,3.303,A,B,125,27,1636.31
3330,3.33,B,A,126,21,1662.96
3351,3.351,A,B,127,21,1662.96
3372,3.372,B,A,128,11,1684.28
3383,3.383,A,B,129,11,1684.28
3394,3.394,B,A,130,21,1694.94
3415,3.415,A,B,131,21,1694.94
3436,3.436,B,A,132,43,1716.26
3479,3.479,A,B,133,43,1716.26
3522,3.522,B,A,134,21,1758.9
3543,3.543,A,B,135,21,1758.9
3564,3.564,B,A,136,43,1780.22
3607,3.607,A,B,137,43,1780.22
3650,3.65,B,A,138,5,1822.8600000000001
3655,3.655,A,B,139,5,1822.8600000000001
3660,3.66,B,A,140,48,1828.19
3708,3.708,A,B,141,48,1828.19
3756,3.756,B,A,142,11,1876.16
3767,3.767,A,B,143,11,1876.16
3778,3.778,B,A,144,48,1886.8200000000002
3826,3.826,A,B,145,48,1886.8200000000002
3874,3.874,B,A,146,5,1934.7900000000002
3879,3.879,A,B,147,5,1934.7900000000002
3884,3.884,B,A,148,32,1940.1200000000001
3916,3.916,A,B,149,32,1940.1200000000001
3948,3.948,B,A,150,48,1972.1000000000001
3996,3.996,A,B,151,48,1972.1000000000001
4044,4.044,B,A,152,5,2020.0700000000002
4049,4.049,A,B,153,5,2020.0700000000002
4054,4.054,B,A,154,5,2025.4
4059,4.059,A,B,155,5,2025.4
4064,4.064,B,A,156,16,2030.73
4080,4.08,A,B,157,16,2030.73
4096,4.096,B,A,158,11,2046.72
4107,4.107,A,B,159,11,2046.72
4118,4.118,B,A,160,16,2057.38
4134,4.134,A,B,161,16,2057.38
4150,4.15,B,A,162,27,2073.37
4177,4.177,A,B,163,27,2073.37
4204,4.204,B,A,164,37,2100.02
4241,4.241,A,B,165,37,2100.02
4278,4.278,B,A,166,32,2137.33
4310,4.31,A,B,167,32,2137.33
4342,4.342,B,A,168,21,2169.31
4363,4.363,A,B,169,21,2169.31
4384,4.384,B,A,170,5,2190.63
4389,4.389,A,B,171,5,2190.63
4394,4.394,B,A,172,48,2195.96
4442,4.442,A,B,173,48,2195.96
4490,4.49,B,A,174,21,2243.93
4511,4.511,A,B,175,21,2243.93
4532,4.532,B,A,176,37,2265.25
4569,4.569,A,B,177,37,2265.25
4606,4.606,B,A,178,37,2302.56
4643,4.643,A,B,179,37,2302.56
4680,4.68,B,A,180,16,2339.87
4696,4.696,A,B,181,16,2339.87
4712,4.712,B,A,182,16,2355.8599999999997
4728,4.728,A,B,183,16,2355.8599999999997
4744,4.744,B,A,184,16,2371.8499999999995
4760,4.76,A,B,185,16,2371.8499999999995
4776,4.776,B,A,186,16,2387.8399999999992
4792,4.792,A,B,187,16,2387.8399999999992
4808,4.808,B,A,188,21,2403.829999999999
4829,4.829,A,B,189,21,2403.829999999999
4850,4.85,B,A,190,37,2425.149999999999
4887,4.887,A,B,191,37,2425.149999999999
4924,4.924,B,A,192,48,2462.459999999999
4972,4.972,A,B,193,48,2462.459999999999
5020,5.02,B,A,194,48,2510.429999999999
5068,5.068,A,B,195,48,2510.429999999999
5116,5.116,B,A,196,5,2558.3999999999987
5121,5.121,A,B,197,5,2558.3999999999987
5126,5.126,B,A,198,21,2563.7299999999987
