file;cfar;boundary_idx;time_s;time_ms;score;threshold
interleaved_pod_1k_60sec_50ms;0;0;0.021950;21.950;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;1;0.049388;49.388;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;2;0.099274;99.274;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;3;0.149161;149.161;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;4;0.159138;159.138;0.883740;0.666668
interleaved_pod_1k_60sec_50ms;0;5;0.166621;166.621;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;6;0.172608;172.608;0.695087;0.666668
interleaved_pod_1k_60sec_50ms;0;7;0.178594;178.594;0.782744;0.666668
interleaved_pod_1k_60sec_50ms;0;8;0.184580;184.580;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;9;0.190068;190.068;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;10;0.196054;196.054;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;11;0.249433;249.433;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;12;0.256916;256.916;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;13;0.262902;262.902;0.969518;0.666668
interleaved_pod_1k_60sec_50ms;0;14;0.268889;268.889;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;15;0.274376;274.376;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;16;0.279864;279.864;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;17;0.285351;285.351;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;18;0.291338;291.338;0.763760;0.666668
interleaved_pod_1k_60sec_50ms;0;19;0.296825;296.825;0.707897;0.666668
interleaved_pod_1k_60sec_50ms;0;20;0.349206;349.206;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;21;0.354694;354.694;0.985316;0.666668
interleaved_pod_1k_60sec_50ms;0;22;0.360680;360.680;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;23;0.370159;370.159;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;24;0.378639;378.639;0.773459;0.666668
interleaved_pod_1k_60sec_50ms;0;25;0.389116;389.116;0.725618;0.666668
interleaved_pod_1k_60sec_50ms;0;26;0.398594;398.594;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;27;0.448980;448.980;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;28;0.499365;499.365;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;29;0.549252;549.252;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;30;0.599138;599.138;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;31;0.649025;649.025;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;32;0.682948;682.948;0.794346;0.666668
interleaved_pod_1k_60sec_50ms;0;33;0.688934;688.934;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;34;0.696417;696.417;0.765867;0.666668
interleaved_pod_1k_60sec_50ms;0;35;0.749297;749.297;1.000000;0.666668
interleaved_pod_1k_60sec_50ms;0;36;0.759773;759.773;0.831304;0.666668
